Connecting to host 10.136.80.189, port 5201
[  5] local 10.136.173.95 port 37512 connected to 10.136.80.189 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  48.00-49.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.23 MBytes       
[  5]  49.00-50.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.32 MBytes       
[  5]  50.00-51.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.43 MBytes       
[  5]  51.00-52.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.57 MBytes       
[  5]  52.00-53.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.74 MBytes       
[  5]  53.00-54.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.93 MBytes       
[  5]  54.00-55.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.17 MBytes       
[  5]  55.00-56.00  sec  5.00 MBytes  41.9 Mbits/sec   21   1.60 MBytes       
[  5]  56.00-57.00  sec  1.25 MBytes  10.5 Mbits/sec  176    288 KBytes       
[  5]  57.00-58.00  sec  3.75 MBytes  31.5 Mbits/sec   86    865 KBytes       
[  5]  58.00-59.00  sec  3.75 MBytes  31.5 Mbits/sec    0    919 KBytes       
[  5]  59.00-60.00  sec  2.50 MBytes  21.0 Mbits/sec    0    955 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   219 MBytes  30.7 Mbits/sec  1429             sender
[  5]   0.00-60.25  sec   218 MBytes  30.4 Mbits/sec                  receiver

iperf Done.
