Connecting to host 10.136.80.139, port 5201
[  5] local 10.136.173.109 port 52268 connected to 10.136.80.139 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  26.4 MBytes   222 Mbits/sec    0   1.16 MBytes       (omitted)
[  5]   0.00-1.00   sec  22.5 MBytes   189 Mbits/sec    0   2.32 MBytes       
[  5]   1.00-2.00   sec  26.2 MBytes   220 Mbits/sec  1792    724 KBytes       
[  5]   2.00-3.00   sec  28.8 MBytes   241 Mbits/sec    0    780 KBytes       
[  5]   3.00-4.00   sec  28.8 MBytes   241 Mbits/sec    0    823 KBytes       
[  5]   4.00-5.00   sec  25.0 MBytes   210 Mbits/sec    0    851 KBytes       
[  5]   5.00-6.00   sec  27.5 MBytes   231 Mbits/sec    6    636 KBytes       
[  5]   6.00-7.00   sec  35.0 MBytes   294 Mbits/sec   72    259 KBytes       
[  5]   7.00-8.00   sec  26.2 MBytes   220 Mbits/sec    0    318 KBytes       
[  5]   8.00-9.00   sec  23.8 MBytes   199 Mbits/sec    0    360 KBytes       
[  5]   9.00-10.00  sec  35.0 MBytes   294 Mbits/sec    1    320 KBytes       
[  5]  10.00-11.00  sec  32.5 MBytes   273 Mbits/sec    0    381 KBytes       
[  5]  11.00-12.00  sec  26.2 MBytes   220 Mbits/sec    0    421 KBytes       
[  5]  12.00-13.00  sec  28.8 MBytes   241 Mbits/sec    0    461 KBytes       
[  5]  13.00-14.00  sec  35.0 MBytes   294 Mbits/sec    0    506 KBytes       
[  5]  14.00-15.00  sec  31.2 MBytes   262 Mbits/sec    0    544 KBytes       
[  5]  15.00-16.00  sec  32.5 MBytes   273 Mbits/sec    0    581 KBytes       
[  5]  16.00-17.00  sec  35.0 MBytes   294 Mbits/sec    0    618 KBytes       
[  5]  17.00-18.00  sec  31.2 MBytes   262 Mbits/sec    0    649 KBytes       
[  5]  18.00-19.00  sec  33.8 MBytes   283 Mbits/sec    0    681 KBytes       
[  5]  19.00-20.00  sec  28.8 MBytes   241 Mbits/sec    0    706 KBytes       
[  5]  20.00-21.00  sec  27.5 MBytes   231 Mbits/sec    0    732 KBytes       
[  5]  21.00-22.00  sec  35.0 MBytes   294 Mbits/sec    0    760 KBytes       
[  5]  22.00-23.00  sec  35.0 MBytes   294 Mbits/sec    0    789 KBytes       
[  5]  23.00-24.00  sec  33.8 MBytes   283 Mbits/sec    0    814 KBytes       
[  5]  24.00-25.00  sec  31.2 MBytes   262 Mbits/sec    0    839 KBytes       
[  5]  25.00-26.00  sec  33.8 MBytes   283 Mbits/sec    0    913 KBytes       
[  5]  26.00-27.00  sec  32.5 MBytes   273 Mbits/sec    0   1.06 MBytes       
[  5]  27.00-28.00  sec  32.5 MBytes   273 Mbits/sec   16    857 KBytes       
[  5]  28.00-29.00  sec  35.0 MBytes   294 Mbits/sec    0    938 KBytes       
[  5]  29.00-30.00  sec  35.0 MBytes   294 Mbits/sec    0    999 KBytes       
[  5]  30.00-31.00  sec  28.8 MBytes   241 Mbits/sec    0   1.02 MBytes       
[  5]  31.00-32.00  sec  25.0 MBytes   210 Mbits/sec    0   1.05 MBytes       
[  5]  32.00-33.00  sec  26.2 MBytes   220 Mbits/sec    0   1.07 MBytes       
[  5]  33.00-34.00  sec  30.0 MBytes   252 Mbits/sec    0   1.08 MBytes       
[  5]  34.00-35.00  sec  32.5 MBytes   273 Mbits/sec    0   1.08 MBytes       
