Connecting to host 10.136.80.164, port 5201
[  5] local 10.136.173.96 port 56824 connected to 10.136.80.164 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  93.0 MBytes   780 Mbits/sec    9    343 KBytes       (omitted)
[  5]   0.00-1.00   sec  90.6 MBytes   760 Mbits/sec    2    494 KBytes       
[  5]   1.00-2.00   sec  92.1 MBytes   773 Mbits/sec    7    486 KBytes       
[  5]   2.00-3.00   sec  92.3 MBytes   774 Mbits/sec    6    446 KBytes       
[  5]   3.00-4.00   sec  90.0 MBytes   755 Mbits/sec   14    466 KBytes       
[  5]   4.00-5.00   sec  91.8 MBytes   770 Mbits/sec    7    452 KBytes       
[  5]   5.00-6.00   sec  91.4 MBytes   767 Mbits/sec    0    584 KBytes       
[  5]   6.00-7.00   sec  92.3 MBytes   775 Mbits/sec    0    692 KBytes       
[  5]   7.00-8.00   sec  91.2 MBytes   765 Mbits/sec    0    785 KBytes       
[  5]   8.00-9.00   sec  92.5 MBytes   776 Mbits/sec    0    868 KBytes       
[  5]   9.00-10.00  sec  92.5 MBytes   776 Mbits/sec   14    699 KBytes       
[  5]  10.00-11.00  sec  91.2 MBytes   765 Mbits/sec    0    792 KBytes       
[  5]  11.00-12.00  sec  92.5 MBytes   776 Mbits/sec    0    874 KBytes       
[  5]  12.00-13.00  sec  92.5 MBytes   776 Mbits/sec    6    676 KBytes       
[  5]  13.00-14.00  sec  91.2 MBytes   765 Mbits/sec    0    771 KBytes       
[  5]  14.00-15.00  sec  92.5 MBytes   776 Mbits/sec    7    621 KBytes       
[  5]  15.00-16.00  sec  92.5 MBytes   776 Mbits/sec    0    725 KBytes       
[  5]  16.00-17.00  sec  91.2 MBytes   765 Mbits/sec    0    814 KBytes       
[  5]  17.00-18.00  sec  92.5 MBytes   776 Mbits/sec    5    627 KBytes       
[  5]  18.00-19.00  sec  91.2 MBytes   765 Mbits/sec    0    726 KBytes       
[  5]  19.00-20.00  sec  92.5 MBytes   776 Mbits/sec   53    577 KBytes       
[  5]  20.00-21.00  sec  91.2 MBytes   765 Mbits/sec    0    687 KBytes       
[  5]  21.00-22.00  sec  92.5 MBytes   776 Mbits/sec    0    781 KBytes       
[  5]  22.00-23.00  sec  92.5 MBytes   776 Mbits/sec    0    864 KBytes       
[  5]  23.00-24.00  sec  91.2 MBytes   766 Mbits/sec    7    698 KBytes       
[  5]  24.00-25.00  sec  91.2 MBytes   765 Mbits/sec   13    416 KBytes       
[  5]  25.00-26.00  sec  91.2 MBytes   765 Mbits/sec    0    556 KBytes       
[  5]  26.00-27.00  sec  92.5 MBytes   776 Mbits/sec    6    511 KBytes       
[  5]  27.00-28.00  sec  91.2 MBytes   765 Mbits/sec    0    629 KBytes       
[  5]  28.00-29.00  sec  91.2 MBytes   765 Mbits/sec    0    729 KBytes       
[  5]  29.00-30.00  sec  92.5 MBytes   776 Mbits/sec    7    580 KBytes       
[  5]  30.00-31.00  sec  91.2 MBytes   765 Mbits/sec    0    688 KBytes       
[  5]  31.00-32.00  sec  92.5 MBytes   776 Mbits/sec    0    781 KBytes       
[  5]  32.00-33.00  sec  92.5 MBytes   776 Mbits/sec    7    617 KBytes       
[  5]  33.00-34.00  sec  91.2 MBytes   765 Mbits/sec    0    719 KBytes       
[  5]  34.00-35.00  sec  91.2 MBytes   765 Mbits/sec    0    810 KBytes       
[  5]  35.00-36.00  sec  92.5 MBytes   776 Mbits/sec    0    890 KBytes       
[  5]  36.00-37.00  sec  91.2 MBytes   765 Mbits/sec    0    964 KBytes       
[  5]  37.00-38.00  sec  92.5 MBytes   776 Mbits/sec    0   1.01 MBytes       
[  5]  38.00-39.00  sec  92.5 MBytes   776 Mbits/sec    0   1.07 MBytes       
[  5]  39.00-40.00  sec  91.2 MBytes   766 Mbits/sec    0   1.13 MBytes       
[  5]  40.00-41.00  sec  91.2 MBytes   765 Mbits/sec   35    635 KBytes       
[  5]  41.00-42.00  sec  92.5 MBytes   776 Mbits/sec    0    737 KBytes       
[  5]  42.00-43.00  sec  91.2 MBytes   765 Mbits/sec    0    823 KBytes       
[  5]  43.00-44.00  sec  92.5 MBytes   776 Mbits/sec   14    654 KBytes       
[  5]  44.00-45.00  sec  91.2 MBytes   765 Mbits/sec    0    751 KBytes       
[  5]  45.00-46.00  sec  92.5 MBytes   776 Mbits/sec   14    597 KBytes       
[  5]  46.00-47.00  sec  91.2 MBytes   765 Mbits/sec    0    703 KBytes       
[  5]  47.00-48.00  sec  92.5 MBytes   776 Mbits/sec    0    795 KBytes       
[  5]  48.00-49.00  sec  92.5 MBytes   775 Mbits/sec    0    876 KBytes       
[  5]  49.00-50.00  sec  91.2 MBytes   766 Mbits/sec   14    676 KBytes       
[  5]  50.00-51.00  sec  91.2 MBytes   765 Mbits/sec    0    767 KBytes       
[  5]  51.00-52.00  sec  92.5 MBytes   776 Mbits/sec    0    853 KBytes       
[  5]  52.00-53.00  sec  92.5 MBytes   776 Mbits/sec   21    680 KBytes       
[  5]  53.00-54.00  sec  91.2 MBytes   765 Mbits/sec    0    774 KBytes       
[  5]  54.00-55.00  sec  92.5 MBytes   776 Mbits/sec    0    859 KBytes       
[  5]  55.00-56.00  sec  91.2 MBytes   765 Mbits/sec    0    935 KBytes       
[  5]  56.00-57.00  sec  92.5 MBytes   776 Mbits/sec    7    743 KBytes       
[  5]  57.00-58.00  sec  92.5 MBytes   776 Mbits/sec    0    830 KBytes       
[  5]  58.00-59.00  sec  91.2 MBytes   765 Mbits/sec    6    635 KBytes       
[  5]  59.00-60.00  sec  92.5 MBytes   776 Mbits/sec    0    734 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  5.38 GBytes   771 Mbits/sec  272             sender
[  5]   0.00-60.04  sec  5.39 GBytes   770 Mbits/sec                  receiver

iperf Done.
