Connecting to host 10.136.80.185, port 5201
[  5] local 10.136.173.104 port 47278 connected to 10.136.80.185 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  42.6 KBytes  0.35 Mbits/sec    0   11.5 KBytes       (omitted)
[  5]   0.00-1.00   sec   125 KBytes  1.03 Mbits/sec    0   52.9 KBytes       
[  5]   1.00-2.00   sec   242 KBytes  1.98 Mbits/sec    0   58.7 KBytes       
[  5]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    0   66.7 KBytes       
[  5]   3.00-4.00   sec   127 KBytes  1.04 Mbits/sec    0   75.9 KBytes       
[  5]   4.00-5.00   sec   253 KBytes  2.07 Mbits/sec    0   85.1 KBytes       
[  5]   5.00-6.00   sec   316 KBytes  2.59 Mbits/sec    0    106 KBytes       
[  5]   6.00-7.00   sec   253 KBytes  2.07 Mbits/sec    0    150 KBytes       
[  5]   7.00-8.00   sec   823 KBytes  6.74 Mbits/sec    0    211 KBytes       
[  5]   8.00-9.00   sec   696 KBytes  5.70 Mbits/sec    0    290 KBytes       
[  5]   9.00-10.00  sec   949 KBytes  7.77 Mbits/sec    0    393 KBytes       
[  5]  10.00-11.00  sec  1.85 MBytes  15.6 Mbits/sec    0    519 KBytes       
[  5]  11.00-12.00  sec  1.54 MBytes  13.0 Mbits/sec    0    671 KBytes       
[  5]  12.00-13.00  sec  1.92 MBytes  16.1 Mbits/sec    0    844 KBytes       
[  5]  13.00-14.00  sec  3.60 MBytes  30.2 Mbits/sec    0   1.04 MBytes       
[  5]  14.00-15.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.30 MBytes       
[  5]  15.00-16.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.55 MBytes       
[  5]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.85 MBytes       
[  5]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.19 MBytes       
[  5]  18.00-19.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.57 MBytes       
[  5]  19.00-20.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.97 MBytes       
[  5]  20.00-21.00  sec  4.77 MBytes  40.1 Mbits/sec    0   3.29 MBytes       
[  5]  21.00-22.00  sec  3.66 MBytes  30.7 Mbits/sec    0   3.29 MBytes       
[  5]  22.00-23.00  sec  3.61 MBytes  30.2 Mbits/sec    0   3.29 MBytes       
[  5]  23.00-24.00  sec  3.71 MBytes  31.1 Mbits/sec    0   3.29 MBytes       
[  5]  24.00-25.00  sec  3.62 MBytes  30.3 Mbits/sec    0   3.29 MBytes       
[  5]  25.00-26.00  sec  3.67 MBytes  30.7 Mbits/sec    0   3.29 MBytes       
[  5]  26.00-27.00  sec  3.70 MBytes  31.0 Mbits/sec    0   3.29 MBytes       
[  5]  27.00-28.00  sec  4.94 MBytes  41.5 Mbits/sec    0   3.29 MBytes       
[  5]  28.00-29.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.29 MBytes       
[  5]  29.00-30.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.29 MBytes       
[  5]  30.00-31.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.29 MBytes       
[  5]  31.00-32.00  sec  5.00 MBytes  42.0 Mbits/sec    0   3.29 MBytes       
[  5]  32.00-33.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.29 MBytes       
[  5]  33.00-34.00  sec  4.95 MBytes  41.5 Mbits/sec    0   3.29 MBytes       
[  5]  34.00-35.00  sec  4.96 MBytes  41.6 Mbits/sec    0   3.29 MBytes       
[  5]  35.00-36.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.29 MBytes       
[  5]  36.00-37.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.29 MBytes       
[  5]  37.00-38.00  sec  7.50 MBytes  62.9 Mbits/sec    0   3.29 MBytes       
[  5]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec  739    138 KBytes       
[  5]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec  231   1.97 MBytes       
[  5]  40.00-41.00  sec  0.00 Bytes  0.00 Mbits/sec  624    396 KBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec  267   1.20 MBytes       
[  5]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec  184    971 KBytes       
[  5]  43.00-44.00  sec  3.75 MBytes  31.5 Mbits/sec   65    872 KBytes       
[  5]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0    921 KBytes       
[  5]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    0    962 KBytes       
[  5]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec    0    987 KBytes       
[  5]  47.00-48.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1001 KBytes       
[  5]  48.00-49.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1008 KBytes       
[  5]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1009 KBytes       
[  5]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1009 KBytes       
[  5]  51.00-52.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1010 KBytes       
[  5]  52.00-53.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1015 KBytes       
[  5]  53.00-54.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.00 MBytes       
[  5]  54.00-55.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.02 MBytes       
