Connecting to host 10.136.80.135, port 5201
[  5] local 10.136.173.113 port 34280 connected to 10.136.80.135 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  42.6 KBytes  0.35 Mbits/sec    0   23.0 KBytes       (omitted)
[  5]   0.00-1.00   sec   529 KBytes  4.33 Mbits/sec    0    184 KBytes       
[  5]   1.00-2.00   sec  1.79 MBytes  15.0 Mbits/sec    6    326 KBytes       
[  5]   2.00-3.00   sec   633 KBytes  5.18 Mbits/sec    0    383 KBytes       
[  5]   3.00-4.00   sec  1.24 MBytes  10.4 Mbits/sec    0    419 KBytes       
[  5]   4.00-5.00   sec  1.24 MBytes  10.4 Mbits/sec    0    439 KBytes       
[  5]   5.00-6.00   sec  1.24 MBytes  10.4 Mbits/sec    0    451 KBytes       
[  5]   6.00-7.00   sec  1.24 MBytes  10.4 Mbits/sec    0    458 KBytes       
[  5]   7.00-8.00   sec  1.24 MBytes  10.4 Mbits/sec    0    459 KBytes       
[  5]   8.00-9.00   sec  1.24 MBytes  10.4 Mbits/sec    0    459 KBytes       
[  5]   9.00-10.00  sec  1.24 MBytes  10.4 Mbits/sec    0    461 KBytes       
[  5]  10.00-11.00  sec  1.24 MBytes  10.4 Mbits/sec    0    467 KBytes       
[  5]  11.00-12.00  sec  1.24 MBytes  10.4 Mbits/sec    0    476 KBytes       
[  5]  12.00-13.00  sec  1.24 MBytes  10.4 Mbits/sec    0    498 KBytes       
[  5]  13.00-14.00  sec  2.04 MBytes  17.1 Mbits/sec    0    534 KBytes       
[  5]  14.00-15.00  sec  1.48 MBytes  12.4 Mbits/sec    0    586 KBytes       
[  5]  15.00-16.00  sec  2.47 MBytes  20.7 Mbits/sec    0    657 KBytes       
[  5]  16.00-17.00  sec  1.92 MBytes  16.1 Mbits/sec    0    751 KBytes       
[  5]  17.00-18.00  sec  2.04 MBytes  17.1 Mbits/sec    0    835 KBytes       
[  5]  18.00-19.00  sec  2.35 MBytes  19.7 Mbits/sec    0    976 KBytes       
[  5]  19.00-20.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.12 MBytes       
[  5]  20.00-21.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.31 MBytes       
[  5]  21.00-22.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.54 MBytes       
[  5]  22.00-23.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.80 MBytes       
[  5]  23.00-24.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.05 MBytes       
[  5]  24.00-25.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.33 MBytes       
[  5]  25.00-26.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.70 MBytes       
[  5]  26.00-27.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.10 MBytes       
[  5]  27.00-28.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.44 MBytes       
[  5]  28.00-29.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.44 MBytes       
[  5]  29.00-30.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.44 MBytes       
[  5]  30.00-31.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.44 MBytes       
[  5]  31.00-32.00  sec  2.50 MBytes  21.0 Mbits/sec    0   3.44 MBytes       
[  5]  32.00-33.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.44 MBytes       
[  5]  33.00-34.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.44 MBytes       
[  5]  34.00-35.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.44 MBytes       
[  5]  35.00-36.00  sec  3.75 MBytes  31.5 Mbits/sec    0   3.44 MBytes       
[  5]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec  318   1.72 MBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec    2   1.71 MBytes       
[  5]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec  342    213 KBytes       
[  5]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec   19    962 KBytes       
[  5]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec  232    690 KBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec    0    741 KBytes       
[  5]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec    0    775 KBytes       
[  5]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0    798 KBytes       
[  5]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec    0    811 KBytes       
[  5]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    0    816 KBytes       
[  5]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec    0    817 KBytes       
[  5]  47.00-48.00  sec  2.50 MBytes  21.0 Mbits/sec    0    817 KBytes       
[  5]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0    819 KBytes       
[  5]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec    0    825 KBytes       
[  5]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec    0    837 KBytes       
[  5]  51.00-52.00  sec  2.50 MBytes  21.0 Mbits/sec    0    862 KBytes       
[  5]  52.00-53.00  sec  2.50 MBytes  21.0 Mbits/sec    0    894 KBytes       
[  5]  53.00-54.00  sec  2.50 MBytes  21.0 Mbits/sec    0    944 KBytes       
[  5]  54.00-55.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1012 KBytes       
[  5]  55.00-56.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.08 MBytes       
[  5]  56.00-57.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.18 MBytes       
[  5]  57.00-58.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.31 MBytes       
[  5]  58.00-59.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.48 MBytes       
[  5]  59.00-60.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.64 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   140 MBytes  19.6 Mbits/sec  919             sender
[  5]   0.00-60.52  sec   140 MBytes  19.3 Mbits/sec                  receiver

iperf Done.
