Connecting to host 10.136.80.149, port 5201
[  5] local 10.136.173.67 port 54904 connected to 10.136.80.149 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  31.00-32.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.13 MBytes       
[  5]  32.00-33.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.15 MBytes       
[  5]  33.00-34.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.18 MBytes       
[  5]  34.00-35.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.22 MBytes       
[  5]  35.00-36.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.28 MBytes       
[  5]  36.00-37.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.36 MBytes       
[  5]  37.00-38.00  sec  3.75 MBytes  31.5 Mbits/sec   23   1.01 MBytes       
[  5]  38.00-39.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.12 MBytes       
[  5]  39.00-40.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.20 MBytes       
[  5]  40.00-41.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.27 MBytes       
[  5]  41.00-42.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.31 MBytes       
[  5]  42.00-43.00  sec  5.00 MBytes  41.9 Mbits/sec    1   1.26 MBytes       
[  5]  43.00-44.00  sec  5.00 MBytes  41.9 Mbits/sec    6    997 KBytes       
[  5]  44.00-45.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.04 MBytes       
[  5]  45.00-46.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.08 MBytes       
[  5]  46.00-47.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.11 MBytes       
[  5]  47.00-48.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.13 MBytes       
[  5]  48.00-49.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.13 MBytes       
[  5]  49.00-50.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.13 MBytes       
[  5]  50.00-51.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.13 MBytes       
[  5]  51.00-52.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.14 MBytes       
[  5]  52.00-53.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.14 MBytes       
[  5]  53.00-54.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.15 MBytes       
[  5]  54.00-55.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.18 MBytes       
[  5]  55.00-56.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.21 MBytes       
[  5]  56.00-57.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.27 MBytes       
[  5]  57.00-58.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.34 MBytes       
[  5]  58.00-59.00  sec  3.75 MBytes  31.5 Mbits/sec   20   1010 KBytes       
[  5]  59.00-60.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.10 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   275 MBytes  38.4 Mbits/sec  1460             sender
[  5]   0.00-60.25  sec   274 MBytes  38.2 Mbits/sec                  receiver

iperf Done.
