Connecting to host 10.136.80.135, port 5201
[  5] local 10.136.173.77 port 36077 connected to 10.136.80.135 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  78.5 MBytes   658 Mbits/sec  69870  (omitted)
[  5]   0.00-1.00   sec  71.6 MBytes   601 Mbits/sec  63730  
[  5]   1.00-2.00   sec  66.8 MBytes   560 Mbits/sec  59430  
[  5]   2.00-3.00   sec  77.4 MBytes   650 Mbits/sec  68930  
[  5]   3.00-4.00   sec  80.7 MBytes   677 Mbits/sec  71840  
[  5]   4.00-5.00   sec  80.5 MBytes   676 Mbits/sec  71680  
[  5]   5.00-6.00   sec  80.9 MBytes   678 Mbits/sec  71970  
[  5]   6.00-7.00   sec  81.1 MBytes   680 Mbits/sec  72180  
[  5]   7.00-8.00   sec  82.7 MBytes   694 Mbits/sec  73600  
[  5]   8.00-9.00   sec  80.8 MBytes   678 Mbits/sec  71900  
[  5]   9.00-10.00  sec  80.8 MBytes   678 Mbits/sec  71900  
[  5]  10.00-11.00  sec  81.0 MBytes   679 Mbits/sec  72100  
[  5]  11.00-12.00  sec  80.5 MBytes   675 Mbits/sec  71620  
[  5]  12.00-13.00  sec  82.4 MBytes   691 Mbits/sec  73330  
[  5]  13.00-14.00  sec  81.9 MBytes   687 Mbits/sec  72930  
[  5]  14.00-15.00  sec  81.3 MBytes   682 Mbits/sec  72330  
[  5]  15.00-16.00  sec  80.6 MBytes   677 Mbits/sec  71780  
[  5]  16.00-17.00  sec  81.3 MBytes   682 Mbits/sec  72340  
[  5]  17.00-18.00  sec  81.1 MBytes   680 Mbits/sec  72180  
[  5]  18.00-19.00  sec  80.6 MBytes   676 Mbits/sec  71710  
[  5]  19.00-20.00  sec  80.3 MBytes   673 Mbits/sec  71460  
[  5]  20.00-21.00  sec  79.9 MBytes   670 Mbits/sec  71130  
[  5]  21.00-22.00  sec  80.7 MBytes   677 Mbits/sec  71790  
[  5]  22.00-23.00  sec  81.3 MBytes   682 Mbits/sec  72390  
[  5]  23.00-24.00  sec  81.6 MBytes   684 Mbits/sec  72610  
[  5]  24.00-25.00  sec  82.8 MBytes   695 Mbits/sec  73690  
[  5]  25.00-26.00  sec  80.9 MBytes   679 Mbits/sec  72030  
[  5]  26.00-27.00  sec  81.6 MBytes   684 Mbits/sec  72600  
[  5]  27.00-28.00  sec  81.9 MBytes   687 Mbits/sec  72860  
[  5]  28.00-29.00  sec  80.1 MBytes   672 Mbits/sec  71340  
[  5]  29.00-30.00  sec  80.5 MBytes   675 Mbits/sec  71650  
[  5]  30.00-31.00  sec  80.0 MBytes   671 Mbits/sec  71240  
[  5]  31.00-32.00  sec  80.3 MBytes   673 Mbits/sec  71460  
[  5]  32.00-33.00  sec  80.8 MBytes   678 Mbits/sec  71910  
[  5]  33.00-34.00  sec  81.7 MBytes   685 Mbits/sec  72700  
[  5]  34.00-35.00  sec  81.2 MBytes   681 Mbits/sec  72260  
[  5]  35.00-36.00  sec  81.1 MBytes   680 Mbits/sec  72190  
[  5]  36.00-37.00  sec  81.2 MBytes   681 Mbits/sec  72240  
[  5]  37.00-38.00  sec  81.2 MBytes   681 Mbits/sec  72290  
[  5]  38.00-39.00  sec  80.5 MBytes   676 Mbits/sec  71690  
[  5]  39.00-40.00  sec  80.7 MBytes   677 Mbits/sec  71820  
[  5]  40.00-41.00  sec  80.7 MBytes   677 Mbits/sec  71820  
[  5]  41.00-42.00  sec  74.9 MBytes   628 Mbits/sec  66650  
[  5]  42.00-43.00  sec  69.8 MBytes   586 Mbits/sec  62160  
[  5]  43.00-44.00  sec  80.9 MBytes   679 Mbits/sec  72050  
[  5]  44.00-45.00  sec  80.6 MBytes   676 Mbits/sec  71740  
[  5]  45.00-46.00  sec  80.9 MBytes   679 Mbits/sec  72030  
[  5]  46.00-47.00  sec  80.6 MBytes   676 Mbits/sec  71780  
[  5]  47.00-48.00  sec  81.3 MBytes   682 Mbits/sec  72400  
[  5]  48.00-49.00  sec  81.1 MBytes   680 Mbits/sec  72150  
[  5]  49.00-50.00  sec  80.5 MBytes   675 Mbits/sec  71640  
[  5]  50.00-51.00  sec  80.3 MBytes   673 Mbits/sec  71440  
[  5]  51.00-52.00  sec  81.3 MBytes   682 Mbits/sec  72370  
[  5]  52.00-53.00  sec  80.9 MBytes   678 Mbits/sec  71980  
[  5]  53.00-54.00  sec  81.0 MBytes   680 Mbits/sec  72120  
[  5]  54.00-55.00  sec  80.9 MBytes   678 Mbits/sec  71980  
[  5]  55.00-56.00  sec  79.7 MBytes   668 Mbits/sec  70930  
[  5]  56.00-57.00  sec  81.2 MBytes   681 Mbits/sec  72240  
[  5]  57.00-58.00  sec  81.1 MBytes   680 Mbits/sec  72170  
[  5]  58.00-59.00  sec  80.6 MBytes   676 Mbits/sec  71730  
[  5]  59.00-60.00  sec  79.4 MBytes   666 Mbits/sec  70700  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  4.70 GBytes   673 Mbits/sec  0.000 ms  0/4282910 (0%)  sender
[  5]   0.00-60.04  sec  4.70 GBytes   672 Mbits/sec  0.012 ms  2422/4282909 (0.057%)  receiver

iperf Done.
