Connecting to host 10.136.80.183, port 5201
[  5] local 10.136.173.113 port 44510 connected to 10.136.80.183 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  93.2 MBytes   782 Mbits/sec    7    539 KBytes       (omitted)
[  5]   0.00-1.00   sec  92.3 MBytes   774 Mbits/sec    1    651 KBytes       
[  5]   1.00-2.00   sec  92.5 MBytes   776 Mbits/sec    6    526 KBytes       
[  5]   2.00-3.00   sec  75.0 MBytes   629 Mbits/sec   25   1.13 MBytes       
[  5]   3.00-4.00   sec  91.2 MBytes   765 Mbits/sec   21    913 KBytes       
[  5]   4.00-5.00   sec  92.5 MBytes   776 Mbits/sec   48    724 KBytes       
[  5]   5.00-6.00   sec  92.5 MBytes   776 Mbits/sec    1    811 KBytes       
[  5]   6.00-7.00   sec  91.2 MBytes   766 Mbits/sec    0    891 KBytes       
[  5]   7.00-8.00   sec  92.5 MBytes   776 Mbits/sec    0    967 KBytes       
[  5]   8.00-9.00   sec  92.5 MBytes   776 Mbits/sec   21    748 KBytes       
[  5]   9.00-10.00  sec  75.0 MBytes   629 Mbits/sec    9    916 KBytes       
[  5]  10.00-11.00  sec  91.2 MBytes   765 Mbits/sec   14    714 KBytes       
[  5]  11.00-12.00  sec  92.5 MBytes   776 Mbits/sec    0    804 KBytes       
[  5]  12.00-13.00  sec  91.2 MBytes   765 Mbits/sec    7    665 KBytes       
[  5]  13.00-14.00  sec  92.5 MBytes   776 Mbits/sec    0    760 KBytes       
[  5]  14.00-15.00  sec  91.2 MBytes   765 Mbits/sec    0    845 KBytes       
[  5]  15.00-16.00  sec  92.5 MBytes   776 Mbits/sec    0    923 KBytes       
[  5]  16.00-17.00  sec  92.5 MBytes   776 Mbits/sec    0    995 KBytes       
[  5]  17.00-18.00  sec  92.5 MBytes   776 Mbits/sec   12    786 KBytes       
[  5]  18.00-19.00  sec  92.5 MBytes   776 Mbits/sec    7    651 KBytes       
[  5]  19.00-20.00  sec  91.2 MBytes   765 Mbits/sec    0    750 KBytes       
[  5]  20.00-21.00  sec  91.2 MBytes   765 Mbits/sec    0    836 KBytes       
[  5]  21.00-22.00  sec  92.5 MBytes   776 Mbits/sec   19    479 KBytes       
[  5]  22.00-23.00  sec  91.2 MBytes   765 Mbits/sec    0    609 KBytes       
[  5]  23.00-24.00  sec  92.5 MBytes   776 Mbits/sec    0    710 KBytes       
[  5]  24.00-25.00  sec  91.2 MBytes   765 Mbits/sec    4    609 KBytes       
[  5]  25.00-26.00  sec  92.5 MBytes   776 Mbits/sec    0    713 KBytes       
[  5]  26.00-27.00  sec  91.2 MBytes   765 Mbits/sec   11    414 KBytes       
[  5]  27.00-28.00  sec  92.5 MBytes   776 Mbits/sec    0    556 KBytes       
[  5]  28.00-29.00  sec  91.2 MBytes   765 Mbits/sec    7    524 KBytes       
[  5]  29.00-30.00  sec  90.0 MBytes   755 Mbits/sec    0    640 KBytes       
[  5]  30.00-31.00  sec  92.5 MBytes   776 Mbits/sec    0    739 KBytes       
[  5]  31.00-32.00  sec  91.2 MBytes   765 Mbits/sec    0    826 KBytes       
[  5]  32.00-33.00  sec  92.5 MBytes   776 Mbits/sec    0    905 KBytes       
[  5]  33.00-34.00  sec  92.5 MBytes   776 Mbits/sec    4    719 KBytes       
[  5]  34.00-35.00  sec  91.2 MBytes   765 Mbits/sec    0    811 KBytes       
[  5]  35.00-36.00  sec  92.5 MBytes   776 Mbits/sec    7    627 KBytes       
[  5]  36.00-37.00  sec  92.5 MBytes   776 Mbits/sec    0    729 KBytes       
[  5]  37.00-38.00  sec  91.2 MBytes   765 Mbits/sec    0    818 KBytes       
[  5]  38.00-39.00  sec  92.5 MBytes   776 Mbits/sec   14    640 KBytes       
[  5]  39.00-40.00  sec  91.2 MBytes   765 Mbits/sec    5    572 KBytes       
[  5]  40.00-41.00  sec  92.5 MBytes   776 Mbits/sec    0    683 KBytes       
[  5]  41.00-42.00  sec  91.2 MBytes   765 Mbits/sec  240    408 KBytes       
[  5]  42.00-43.00  sec  91.2 MBytes   765 Mbits/sec   10    539 KBytes       
[  5]  43.00-44.00  sec  91.2 MBytes   765 Mbits/sec   21    647 KBytes       
[  5]  44.00-45.00  sec  92.5 MBytes   776 Mbits/sec    1    743 KBytes       
[  5]  45.00-46.00  sec  91.2 MBytes   765 Mbits/sec    7    632 KBytes       
[  5]  46.00-47.00  sec  92.5 MBytes   776 Mbits/sec    1    729 KBytes       
[  5]  47.00-48.00  sec  91.2 MBytes   765 Mbits/sec    0    818 KBytes       
[  5]  48.00-49.00  sec  92.5 MBytes   776 Mbits/sec    8    672 KBytes       
[  5]  49.00-50.00  sec  91.2 MBytes   765 Mbits/sec    9    541 KBytes       
[  5]  50.00-51.00  sec  92.5 MBytes   776 Mbits/sec    0    654 KBytes       
[  5]  51.00-52.00  sec  91.2 MBytes   765 Mbits/sec    7    527 KBytes       
[  5]  52.00-53.00  sec  92.5 MBytes   776 Mbits/sec    0    646 KBytes       
[  5]  53.00-54.00  sec  91.2 MBytes   765 Mbits/sec    0    744 KBytes       
[  5]  54.00-55.00  sec  92.5 MBytes   776 Mbits/sec    0    831 KBytes       
[  5]  55.00-56.00  sec  92.5 MBytes   776 Mbits/sec    0    911 KBytes       
[  5]  56.00-57.00  sec  91.2 MBytes   765 Mbits/sec    0    983 KBytes       
[  5]  57.00-58.00  sec  92.5 MBytes   776 Mbits/sec  135    575 KBytes       
[  5]  58.00-59.00  sec  91.2 MBytes   765 Mbits/sec    2    683 KBytes       
[  5]  59.00-60.00  sec  91.2 MBytes   765 Mbits/sec    0    774 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  5.35 GBytes   766 Mbits/sec  684             sender
[  5]   0.00-60.04  sec  5.36 GBytes   766 Mbits/sec                  receiver

iperf Done.
