Connecting to host 10.136.80.153, port 5201
[  5] local 10.136.173.117 port 55510 connected to 10.136.80.153 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  36.00-37.00  sec  17.5 MBytes   147 Mbits/sec  1678    999 KBytes       
[  5]  37.00-38.00  sec  12.5 MBytes   105 Mbits/sec  294   1.59 MBytes       
[  5]  38.00-39.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.67 MBytes       
[  5]  39.00-40.00  sec  12.5 MBytes   105 Mbits/sec    0   1.73 MBytes       
[  5]  40.00-41.00  sec  12.5 MBytes   105 Mbits/sec    0   1.78 MBytes       
[  5]  41.00-42.00  sec  12.5 MBytes   105 Mbits/sec    0   1.81 MBytes       
[  5]  42.00-43.00  sec  12.5 MBytes   105 Mbits/sec    0   1.82 MBytes       
[  5]  43.00-44.00  sec  13.8 MBytes   115 Mbits/sec    0   1.83 MBytes       
[  5]  44.00-45.00  sec  12.5 MBytes   105 Mbits/sec    0   1.84 MBytes       
[  5]  45.00-46.00  sec  12.5 MBytes   105 Mbits/sec    0   1.84 MBytes       
[  5]  46.00-47.00  sec  13.8 MBytes   115 Mbits/sec    0   1.84 MBytes       
[  5]  47.00-48.00  sec  13.8 MBytes   115 Mbits/sec    0   1.84 MBytes       
[  5]  48.00-49.00  sec  13.8 MBytes   115 Mbits/sec    0   1.85 MBytes       
[  5]  49.00-50.00  sec  15.0 MBytes   126 Mbits/sec    0   1.86 MBytes       
[  5]  50.00-51.00  sec  16.2 MBytes   136 Mbits/sec    0   1.89 MBytes       
[  5]  51.00-52.00  sec  18.8 MBytes   157 Mbits/sec    0   1.93 MBytes       
[  5]  52.00-53.00  sec  20.0 MBytes   168 Mbits/sec    0   1.98 MBytes       
[  5]  53.00-54.00  sec  23.8 MBytes   199 Mbits/sec    0   2.06 MBytes       
[  5]  54.00-55.00  sec  26.2 MBytes   220 Mbits/sec    0   2.15 MBytes       
[  5]  55.00-56.00  sec  27.5 MBytes   231 Mbits/sec    0   2.27 MBytes       
[  5]  56.00-57.00  sec  23.8 MBytes   199 Mbits/sec    0   2.41 MBytes       
[  5]  57.00-58.00  sec  25.0 MBytes   210 Mbits/sec    0   2.59 MBytes       
[  5]  58.00-59.00  sec  27.5 MBytes   230 Mbits/sec    0   2.79 MBytes       
[  5]  59.00-60.00  sec  10.0 MBytes  84.0 Mbits/sec  1510    681 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  1019 MBytes   142 Mbits/sec  3482             sender
[  5]   0.00-60.10  sec  1019 MBytes   142 Mbits/sec                  receiver

iperf Done.
