benchmark-name,benchmark-type,server-node,client-node,socket-buffer-size,mtu,bandwidth,client-ram,client-cpu,server-ram,server-cpu,transport-protocol,loss,delay
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,698,1.47,792,1.82,idle,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,23.0,727,2.13,804,2.8,tcp,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,26.6,714,13.6,806,2.68,udp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,22.3,701,1.99,799,2.77,tcp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,26.5,700,13.26,801,2.8,udp,0,350
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,692,1.26,782,1.95,idle,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,22.1,697,1.93,790,2.86,tcp,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,26.6,703,13.52,792,3.0,udp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,21.9,698,1.84,791,2.76,tcp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,26.6,696,13.06,793,2.81,udp,0,350
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,695,1.63,791,2.0,idle,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,23.1,703,1.98,807,2.91,tcp,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,26.6,701,13.44,804,2.83,udp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,23.1,700,1.97,797,2.81,tcp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,26.6,700,12.95,799,2.84,udp,0,350
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,699,1.64,791,2.0,idle,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,22.7,720,2.4,802,2.82,tcp,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,26.6,720,13.55,802,2.68,udp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,22.5,701,1.94,797,2.76,tcp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,26.6,698,13.08,795,2.74,udp,0,350
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,700,1.63,793,1.91,idle,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,23.2,725,2.06,807,2.84,tcp,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,26.6,716,13.51,801,2.91,udp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,22.4,700,1.85,801,2.89,tcp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,26.6,701,13.21,800,2.77,udp,0,350
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,693,1.35,797,1.94,idle,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,22.9,729,2.18,800,2.86,tcp,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,26.6,722,13.46,801,2.7,udp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,22.8,727,2.16,800,2.93,tcp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,26.6,712,13.25,803,2.8,udp,0,350
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,695,1.36,793,2.08,idle,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,22.7,727,2.03,806,2.85,tcp,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,26.6,723,13.54,804,3.06,udp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,22.9,700,1.97,808,2.81,tcp,0,350
11-native-mtu1230,pod2svc,l26-node03,l26-node02,2M,1230,26.6,705,13.25,801,2.74,udp,0,350
11-native-mtu1230,idle,l26-node03,l26-node02,2M,1230,0.0,696,1.36,795,1.93,idle,0,350
11-native-mtu1230,pod2pod,l26-node03,l26-node02,2M,1230,21.6,731,2.02,800,2.78,tcp,0,350
