Connecting to host 10.136.80.150, port 5201
[  5] local 10.136.173.110 port 35140 connected to 10.136.80.150 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  24.8 MBytes   208 Mbits/sec    0   1.10 MBytes       (omitted)
[  5]   0.00-1.00   sec  22.5 MBytes   189 Mbits/sec    0   2.25 MBytes       
[  5]   1.00-2.00   sec  23.8 MBytes   199 Mbits/sec   81   1.46 MBytes       
[  5]   2.00-3.00   sec  25.0 MBytes   210 Mbits/sec    0   1.47 MBytes       
[  5]   3.00-4.00   sec  31.2 MBytes   262 Mbits/sec   16   1.22 MBytes       
[  5]   4.00-5.00   sec  32.5 MBytes   273 Mbits/sec    0   1.15 MBytes       
[  5]   5.00-6.00   sec  31.2 MBytes   262 Mbits/sec    0   1.25 MBytes       
[  5]   6.00-7.00   sec  33.8 MBytes   283 Mbits/sec    0   1.32 MBytes       
[  5]   7.00-8.00   sec  33.8 MBytes   283 Mbits/sec    0   1.38 MBytes       
[  5]   8.00-9.00   sec  33.8 MBytes   283 Mbits/sec    0   1.42 MBytes       
[  5]   9.00-10.00  sec  31.2 MBytes   262 Mbits/sec    0   1.45 MBytes       
[  5]  10.00-11.00  sec  35.0 MBytes   294 Mbits/sec    0   1.47 MBytes       
[  5]  11.00-12.00  sec  35.0 MBytes   294 Mbits/sec  156    786 KBytes       
[  5]  12.00-13.00  sec  30.0 MBytes   252 Mbits/sec    0    837 KBytes       
[  5]  13.00-14.00  sec  35.0 MBytes   294 Mbits/sec    0    875 KBytes       
[  5]  14.00-15.00  sec  35.0 MBytes   294 Mbits/sec    0    898 KBytes       
[  5]  15.00-16.00  sec  31.2 MBytes   262 Mbits/sec    0    912 KBytes       
[  5]  16.00-17.00  sec  35.0 MBytes   294 Mbits/sec    0    919 KBytes       
[  5]  17.00-18.00  sec  32.5 MBytes   273 Mbits/sec    6    697 KBytes       
[  5]  18.00-19.00  sec  36.2 MBytes   304 Mbits/sec    0    772 KBytes       
[  5]  19.00-20.00  sec  30.0 MBytes   252 Mbits/sec    6    586 KBytes       
