Connecting to host 10.136.80.148, port 5201
[  5] local 10.136.173.72 port 56557 connected to 10.136.80.148 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  80.2 MBytes   673 Mbits/sec  60190  (omitted)
[  5]   0.00-1.00   sec  95.7 MBytes   803 Mbits/sec  71810  
[  5]   1.00-2.00   sec  94.0 MBytes   789 Mbits/sec  70520  
[  5]   2.00-3.00   sec  94.2 MBytes   790 Mbits/sec  70620  
[  5]   3.00-4.00   sec  94.1 MBytes   789 Mbits/sec  70580  
[  5]   4.00-5.00   sec  91.2 MBytes   765 Mbits/sec  68400  
[  5]   5.00-6.00   sec  82.4 MBytes   691 Mbits/sec  61830  
[  5]   6.00-7.00   sec  93.3 MBytes   783 Mbits/sec  69990  
[  5]   7.00-8.00   sec  94.0 MBytes   788 Mbits/sec  70500  
[  5]   8.00-9.00   sec  94.0 MBytes   789 Mbits/sec  70530  
[  5]   9.00-10.00  sec  92.8 MBytes   778 Mbits/sec  69590  
[  5]  10.00-11.00  sec  94.3 MBytes   791 Mbits/sec  70730  
[  5]  11.00-12.00  sec  93.9 MBytes   788 Mbits/sec  70430  
[  5]  12.00-13.00  sec  93.8 MBytes   787 Mbits/sec  70350  
[  5]  13.00-14.00  sec  93.8 MBytes   787 Mbits/sec  70370  
[  5]  14.00-15.00  sec  93.4 MBytes   784 Mbits/sec  70090  
[  5]  15.00-16.00  sec  93.8 MBytes   787 Mbits/sec  70350  
[  5]  16.00-17.00  sec  91.5 MBytes   767 Mbits/sec  68600  
[  5]  17.00-18.00  sec  94.3 MBytes   791 Mbits/sec  70740  
[  5]  18.00-19.00  sec  93.3 MBytes   783 Mbits/sec  69990  
[  5]  19.00-20.00  sec  93.9 MBytes   788 Mbits/sec  70420  
[  5]  20.00-21.00  sec  93.8 MBytes   787 Mbits/sec  70380  
[  5]  21.00-22.00  sec  94.1 MBytes   790 Mbits/sec  70610  
[  5]  22.00-23.00  sec  94.3 MBytes   791 Mbits/sec  70760  
[  5]  23.00-24.00  sec  93.9 MBytes   788 Mbits/sec  70430  
[  5]  24.00-25.00  sec  93.9 MBytes   788 Mbits/sec  70460  
[  5]  25.00-26.00  sec  93.9 MBytes   787 Mbits/sec  70400  
[  5]  26.00-27.00  sec  92.2 MBytes   774 Mbits/sec  69180  
[  5]  27.00-28.00  sec  91.9 MBytes   771 Mbits/sec  68960  
[  5]  28.00-29.00  sec  78.2 MBytes   656 Mbits/sec  58670  
[  5]  29.00-30.00  sec  79.1 MBytes   664 Mbits/sec  59350  
[  5]  30.00-31.00  sec  89.5 MBytes   751 Mbits/sec  67120  
[  5]  31.00-32.00  sec  93.2 MBytes   782 Mbits/sec  69920  
[  5]  32.00-33.00  sec  93.3 MBytes   783 Mbits/sec  70010  
[  5]  33.00-34.00  sec  93.8 MBytes   787 Mbits/sec  70360  
[  5]  34.00-35.00  sec  94.0 MBytes   788 Mbits/sec  70470  
[  5]  35.00-36.00  sec  94.0 MBytes   789 Mbits/sec  70520  
[  5]  36.00-37.00  sec  93.5 MBytes   784 Mbits/sec  70110  
[  5]  37.00-38.00  sec  94.0 MBytes   788 Mbits/sec  70500  
[  5]  38.00-39.00  sec  94.0 MBytes   788 Mbits/sec  70490  
[  5]  39.00-40.00  sec  93.5 MBytes   784 Mbits/sec  70100  
[  5]  40.00-41.00  sec  93.2 MBytes   782 Mbits/sec  69910  
[  5]  41.00-42.00  sec  93.7 MBytes   786 Mbits/sec  70290  
[  5]  42.00-43.00  sec  93.8 MBytes   787 Mbits/sec  70330  
[  5]  43.00-44.00  sec  93.9 MBytes   787 Mbits/sec  70410  
[  5]  44.00-45.00  sec  93.6 MBytes   785 Mbits/sec  70210  
[  5]  45.00-46.00  sec  93.8 MBytes   787 Mbits/sec  70350  
[  5]  46.00-47.00  sec  92.8 MBytes   779 Mbits/sec  69620  
[  5]  47.00-48.00  sec  93.6 MBytes   785 Mbits/sec  70190  
[  5]  48.00-49.00  sec  93.5 MBytes   784 Mbits/sec  70140  
[  5]  49.00-50.00  sec  93.2 MBytes   782 Mbits/sec  69930  
[  5]  50.00-51.00  sec  93.1 MBytes   781 Mbits/sec  69810  
[  5]  51.00-52.00  sec  93.6 MBytes   785 Mbits/sec  70220  
[  5]  52.00-53.00  sec  93.4 MBytes   784 Mbits/sec  70070  
[  5]  53.00-54.00  sec  95.4 MBytes   801 Mbits/sec  71580  
[  5]  54.00-55.00  sec  93.5 MBytes   785 Mbits/sec  70150  
[  5]  55.00-56.00  sec  93.8 MBytes   787 Mbits/sec  70380  
[  5]  56.00-57.00  sec  93.6 MBytes   785 Mbits/sec  70230  
[  5]  57.00-58.00  sec  94.1 MBytes   789 Mbits/sec  70570  
[  5]  58.00-59.00  sec  93.7 MBytes   786 Mbits/sec  70250  
[  5]  59.00-60.00  sec  92.4 MBytes   775 Mbits/sec  69270  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  5.44 GBytes   779 Mbits/sec  0.000 ms  0/4179150 (0%)  sender
[  5]   0.00-60.04  sec  5.44 GBytes   779 Mbits/sec  0.010 ms  1340/4179150 (0.032%)  receiver

iperf Done.
