Connecting to host 10.136.80.171, port 5201
[  5] local 10.136.173.101 port 32898 connected to 10.136.80.171 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  37.00-38.00  sec  91.2 MBytes   765 Mbits/sec   14    606 KBytes       
[  5]  38.00-39.00  sec  92.5 MBytes   776 Mbits/sec    0    707 KBytes       
[  5]  39.00-40.00  sec  91.2 MBytes   765 Mbits/sec    7    591 KBytes       
[  5]  40.00-41.00  sec  92.5 MBytes   776 Mbits/sec    0    700 KBytes       
[  5]  41.00-42.00  sec  91.2 MBytes   765 Mbits/sec    0    792 KBytes       
[  5]  42.00-43.00  sec  92.5 MBytes   776 Mbits/sec    0    874 KBytes       
[  5]  43.00-44.00  sec  91.2 MBytes   765 Mbits/sec    7    707 KBytes       
[  5]  44.00-45.00  sec  92.5 MBytes   776 Mbits/sec    0    800 KBytes       
[  5]  45.00-46.00  sec  92.5 MBytes   776 Mbits/sec    0    881 KBytes       
[  5]  46.00-47.00  sec  91.2 MBytes   765 Mbits/sec    7    674 KBytes       
[  5]  47.00-48.00  sec  92.5 MBytes   776 Mbits/sec    0    769 KBytes       
[  5]  48.00-49.00  sec  92.5 MBytes   776 Mbits/sec    6    628 KBytes       
[  5]  49.00-50.00  sec  92.5 MBytes   776 Mbits/sec    0    730 KBytes       
[  5]  50.00-51.00  sec  91.2 MBytes   765 Mbits/sec    7    591 KBytes       
[  5]  51.00-52.00  sec  92.5 MBytes   776 Mbits/sec    0    700 KBytes       
[  5]  52.00-53.00  sec  92.5 MBytes   776 Mbits/sec    0    790 KBytes       
[  5]  53.00-54.00  sec  91.2 MBytes   765 Mbits/sec    0    874 KBytes       
[  5]  54.00-55.00  sec  92.5 MBytes   776 Mbits/sec   14    696 KBytes       
[  5]  55.00-56.00  sec  92.5 MBytes   775 Mbits/sec    0    788 KBytes       
[  5]  56.00-57.00  sec  91.2 MBytes   766 Mbits/sec    6    616 KBytes       
[  5]  57.00-58.00  sec  91.2 MBytes   765 Mbits/sec    0    717 KBytes       
[  5]  58.00-59.00  sec  92.5 MBytes   776 Mbits/sec    0    808 KBytes       
[  5]  59.00-60.00  sec  92.5 MBytes   776 Mbits/sec    0    889 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  5.39 GBytes   772 Mbits/sec  231             sender
[  5]   0.00-60.04  sec  5.39 GBytes   771 Mbits/sec                  receiver

iperf Done.
