Connecting to host 10.136.80.189, port 5201
[  5] local 10.136.173.120 port 53930 connected to 10.136.80.189 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  55.00-56.00  sec  20.3 MBytes   171 Mbits/sec   56   66.7 KBytes       
[  5]  56.00-57.00  sec  20.4 MBytes   171 Mbits/sec   51   75.9 KBytes       
[  5]  57.00-58.00  sec  20.0 MBytes   168 Mbits/sec   39   66.7 KBytes       
[  5]  58.00-59.00  sec  19.8 MBytes   166 Mbits/sec   49   57.5 KBytes       
[  5]  59.00-60.00  sec  20.0 MBytes   168 Mbits/sec   76   46.0 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  1.18 GBytes   169 Mbits/sec  3195             sender
[  5]   0.00-60.04  sec  1.18 GBytes   169 Mbits/sec                  receiver

iperf Done.
