Connecting to host 10.136.80.187, port 5201
[  5] local 10.136.173.109 port 58504 connected to 10.136.80.187 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  55.00-56.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.08 MBytes       
[  5]  56.00-57.00  sec  5.00 MBytes  42.0 Mbits/sec    6   1.06 MBytes       
[  5]  57.00-58.00  sec  3.75 MBytes  31.5 Mbits/sec   18    879 KBytes       
[  5]  58.00-59.00  sec  2.50 MBytes  21.0 Mbits/sec    0    970 KBytes       
[  5]  59.00-60.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.02 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   233 MBytes  32.5 Mbits/sec  2070             sender
[  5]   0.00-60.25  sec   230 MBytes  32.1 Mbits/sec                  receiver

iperf Done.
