Connecting to host 10.136.80.169, port 5201
[  5] local 10.136.173.91 port 44441 connected to 10.136.80.169 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  83.5 MBytes   701 Mbits/sec  62640  (omitted)
[  5]   0.00-1.00   sec  80.9 MBytes   679 Mbits/sec  60690  
[  5]   1.00-2.00   sec  78.9 MBytes   662 Mbits/sec  59160  
[  5]   2.00-3.00   sec  77.6 MBytes   651 Mbits/sec  58200  
[  5]   3.00-4.00   sec  78.5 MBytes   658 Mbits/sec  58870  
[  5]   4.00-5.00   sec  79.2 MBytes   664 Mbits/sec  59390  
[  5]   5.00-6.00   sec  79.8 MBytes   669 Mbits/sec  59830  
[  5]   6.00-7.00   sec  79.3 MBytes   665 Mbits/sec  59490  
[  5]   7.00-8.00   sec  79.6 MBytes   668 Mbits/sec  59740  
[  5]   8.00-9.00   sec  80.0 MBytes   671 Mbits/sec  60040  
[  5]   9.00-10.00  sec  79.6 MBytes   668 Mbits/sec  59680  
[  5]  10.00-11.00  sec  80.5 MBytes   675 Mbits/sec  60350  
[  5]  11.00-12.00  sec  80.0 MBytes   671 Mbits/sec  59970  
[  5]  12.00-13.00  sec  80.0 MBytes   671 Mbits/sec  60030  
[  5]  13.00-14.00  sec  80.2 MBytes   673 Mbits/sec  60180  
[  5]  14.00-15.00  sec  80.2 MBytes   673 Mbits/sec  60160  
[  5]  15.00-16.00  sec  80.4 MBytes   674 Mbits/sec  60280  
[  5]  16.00-17.00  sec  83.3 MBytes   699 Mbits/sec  62470  
[  5]  17.00-18.00  sec  98.4 MBytes   825 Mbits/sec  73800  
[  5]  18.00-19.00  sec  93.7 MBytes   786 Mbits/sec  70300  
[  5]  19.00-20.00  sec  93.2 MBytes   782 Mbits/sec  69890  
[  5]  20.00-21.00  sec  94.3 MBytes   791 Mbits/sec  70760  
[  5]  21.00-22.00  sec  94.0 MBytes   788 Mbits/sec  70500  
[  5]  22.00-23.00  sec  94.1 MBytes   789 Mbits/sec  70570  
[  5]  23.00-24.00  sec  93.6 MBytes   785 Mbits/sec  70210  
[  5]  24.00-25.00  sec  94.2 MBytes   790 Mbits/sec  70660  
[  5]  25.00-26.00  sec  94.2 MBytes   790 Mbits/sec  70650  
[  5]  26.00-27.00  sec  93.0 MBytes   780 Mbits/sec  69740  
[  5]  27.00-28.00  sec  93.7 MBytes   786 Mbits/sec  70250  
[  5]  28.00-29.00  sec  97.2 MBytes   815 Mbits/sec  72870  
[  5]  29.00-30.00  sec  93.7 MBytes   786 Mbits/sec  70290  
[  5]  30.00-31.00  sec  93.8 MBytes   786 Mbits/sec  70320  
[  5]  31.00-32.00  sec  93.9 MBytes   788 Mbits/sec  70450  
[  5]  32.00-33.00  sec  93.6 MBytes   785 Mbits/sec  70200  
[  5]  33.00-34.00  sec  94.2 MBytes   790 Mbits/sec  70650  
[  5]  34.00-35.00  sec  93.7 MBytes   786 Mbits/sec  70310  
[  5]  35.00-36.00  sec  94.4 MBytes   792 Mbits/sec  70800  
[  5]  36.00-37.00  sec  94.1 MBytes   790 Mbits/sec  70600  
[  5]  37.00-38.00  sec  93.7 MBytes   786 Mbits/sec  70310  
[  5]  38.00-39.00  sec  94.1 MBytes   790 Mbits/sec  70590  
[  5]  39.00-40.00  sec  92.0 MBytes   771 Mbits/sec  68980  
[  5]  40.00-41.00  sec  94.1 MBytes   790 Mbits/sec  70600  
[  5]  41.00-42.00  sec  94.0 MBytes   788 Mbits/sec  70470  
[  5]  42.00-43.00  sec  93.9 MBytes   788 Mbits/sec  70430  
[  5]  43.00-44.00  sec  94.3 MBytes   791 Mbits/sec  70710  
[  5]  44.00-45.00  sec  94.3 MBytes   791 Mbits/sec  70740  
[  5]  45.00-46.00  sec  94.1 MBytes   790 Mbits/sec  70600  
[  5]  46.00-47.00  sec  93.1 MBytes   781 Mbits/sec  69800  
[  5]  47.00-48.00  sec  94.3 MBytes   791 Mbits/sec  70730  
[  5]  48.00-49.00  sec  94.0 MBytes   789 Mbits/sec  70500  
[  5]  49.00-50.00  sec  93.4 MBytes   783 Mbits/sec  70050  
[  5]  50.00-51.00  sec  93.6 MBytes   786 Mbits/sec  70240  
[  5]  51.00-52.00  sec  94.2 MBytes   790 Mbits/sec  70650  
[  5]  52.00-53.00  sec  94.1 MBytes   790 Mbits/sec  70590  
[  5]  53.00-54.00  sec  93.6 MBytes   785 Mbits/sec  70210  
[  5]  54.00-55.00  sec  93.8 MBytes   787 Mbits/sec  70340  
[  5]  55.00-56.00  sec  93.8 MBytes   787 Mbits/sec  70360  
[  5]  56.00-57.00  sec  93.7 MBytes   786 Mbits/sec  70260  
[  5]  57.00-58.00  sec  94.1 MBytes   790 Mbits/sec  70600  
[  5]  58.00-59.00  sec  94.0 MBytes   789 Mbits/sec  70520  
[  5]  59.00-60.00  sec  93.7 MBytes   786 Mbits/sec  70260  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  5.27 GBytes   755 Mbits/sec  0.000 ms  0/4050890 (0%)  sender
[  5]   0.00-60.04  sec  5.28 GBytes   755 Mbits/sec  0.008 ms  680/4050890 (0.017%)  receiver

iperf Done.
