Connecting to host 10.136.80.137, port 5201
[  5] local 10.136.173.115 port 59336 connected to 10.136.80.137 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  26.6 MBytes   224 Mbits/sec    0   1.23 MBytes       (omitted)
[  5]   0.00-1.00   sec  23.8 MBytes   199 Mbits/sec    0   2.43 MBytes       
[  5]   1.00-2.00   sec  28.8 MBytes   241 Mbits/sec   55   1.97 MBytes       
[  5]   2.00-3.00   sec  28.8 MBytes   241 Mbits/sec    1   1.98 MBytes       
[  5]   3.00-4.00   sec  33.8 MBytes   283 Mbits/sec    0   1.99 MBytes       
[  5]   4.00-5.00   sec  33.8 MBytes   283 Mbits/sec    0   2.00 MBytes       
[  5]   5.00-6.00   sec  25.0 MBytes   210 Mbits/sec    0   2.01 MBytes       
[  5]   6.00-7.00   sec  35.0 MBytes   294 Mbits/sec    0   2.03 MBytes       
[  5]   7.00-8.00   sec  35.0 MBytes   294 Mbits/sec    0   2.07 MBytes       
[  5]   8.00-9.00   sec  35.0 MBytes   294 Mbits/sec    0   2.12 MBytes       
[  5]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec    0   2.20 MBytes       
[  5]  10.00-11.00  sec  30.0 MBytes   252 Mbits/sec    0   2.29 MBytes       
[  5]  11.00-12.00  sec  31.2 MBytes   262 Mbits/sec    0   2.41 MBytes       
[  5]  12.00-13.00  sec  30.0 MBytes   252 Mbits/sec    0   2.55 MBytes       
[  5]  13.00-14.00  sec  27.5 MBytes   231 Mbits/sec   24   1.74 MBytes       
[  5]  14.00-15.00  sec  26.2 MBytes   220 Mbits/sec  597   1.40 MBytes       
[  5]  15.00-16.00  sec  27.5 MBytes   231 Mbits/sec    0   1.47 MBytes       
[  5]  16.00-17.00  sec  31.2 MBytes   262 Mbits/sec    0   1.53 MBytes       
[  5]  17.00-18.00  sec  31.2 MBytes   262 Mbits/sec    0   1.57 MBytes       
[  5]  18.00-19.00  sec  28.8 MBytes   241 Mbits/sec    0   1.60 MBytes       
[  5]  19.00-20.00  sec  33.8 MBytes   283 Mbits/sec    0   1.61 MBytes       
[  5]  20.00-21.00  sec  30.0 MBytes   252 Mbits/sec    0   1.62 MBytes       
[  5]  21.00-22.00  sec  35.0 MBytes   294 Mbits/sec    0   1.62 MBytes       
[  5]  22.00-23.00  sec  35.0 MBytes   294 Mbits/sec    0   1.62 MBytes       
[  5]  23.00-24.00  sec  33.8 MBytes   283 Mbits/sec    0   1.62 MBytes       
[  5]  24.00-25.00  sec  31.2 MBytes   262 Mbits/sec    0   1.63 MBytes       
[  5]  25.00-26.00  sec  35.0 MBytes   294 Mbits/sec    0   1.63 MBytes       
[  5]  26.00-27.00  sec  35.0 MBytes   294 Mbits/sec    0   1.65 MBytes       
[  5]  27.00-28.00  sec  27.5 MBytes   231 Mbits/sec    0   1.68 MBytes       
[  5]  28.00-29.00  sec  28.8 MBytes   241 Mbits/sec    0   1.72 MBytes       
[  5]  29.00-30.00  sec  32.5 MBytes   273 Mbits/sec  165    895 KBytes       
[  5]  30.00-31.00  sec  28.8 MBytes   241 Mbits/sec   38    471 KBytes       
[  5]  31.00-32.00  sec  35.0 MBytes   294 Mbits/sec    0    513 KBytes       
[  5]  32.00-33.00  sec  31.2 MBytes   262 Mbits/sec    0    549 KBytes       
