Connecting to host knb-server-706314, port 5201
[  5] local 10.136.173.126 port 59046 connected to 10.43.16.131 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   168 KBytes  1.38 Mbits/sec    0   46.0 KBytes       (omitted)
[  5]   0.00-1.00   sec  2.80 MBytes  23.5 Mbits/sec    0    734 KBytes       
[  5]   1.00-2.00   sec  3.67 MBytes  30.8 Mbits/sec  394    852 KBytes       
[  5]   2.00-3.00   sec  3.75 MBytes  31.5 Mbits/sec    0    953 KBytes       
[  5]   3.00-4.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.01 MBytes       
[  5]   4.00-5.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.07 MBytes       
[  5]   5.00-6.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.11 MBytes       
[  5]   6.00-7.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.14 MBytes       
[  5]   7.00-8.00   sec  5.00 MBytes  41.9 Mbits/sec    0   1.15 MBytes       
[  5]   8.00-9.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.16 MBytes       
[  5]   9.00-10.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.17 MBytes       
[  5]  10.00-11.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.17 MBytes       
[  5]  11.00-12.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.17 MBytes       
[  5]  12.00-13.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.17 MBytes       
[  5]  13.00-14.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.18 MBytes       
[  5]  14.00-15.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.19 MBytes       
[  5]  15.00-16.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.22 MBytes       
[  5]  16.00-17.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.26 MBytes       
[  5]  17.00-18.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.32 MBytes       
[  5]  18.00-19.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.40 MBytes       
[  5]  19.00-20.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.49 MBytes       
[  5]  20.00-21.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.60 MBytes       
[  5]  21.00-22.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.75 MBytes       
[  5]  22.00-23.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.92 MBytes       
[  5]  23.00-24.00  sec  3.75 MBytes  31.5 Mbits/sec    9   1.42 MBytes       
[  5]  24.00-25.00  sec  5.00 MBytes  42.0 Mbits/sec  211   1.04 MBytes       
[  5]  25.00-26.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.15 MBytes       
[  5]  26.00-27.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.24 MBytes       
[  5]  27.00-28.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.30 MBytes       
[  5]  28.00-29.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.35 MBytes       
[  5]  29.00-30.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.39 MBytes       
[  5]  30.00-31.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.41 MBytes       
[  5]  31.00-32.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.42 MBytes       
[  5]  32.00-33.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.43 MBytes       
[  5]  33.00-34.00  sec  5.00 MBytes  41.9 Mbits/sec    4   1.02 MBytes       
[  5]  34.00-35.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.13 MBytes       
[  5]  35.00-36.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.22 MBytes       
[  5]  36.00-37.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.29 MBytes       
[  5]  37.00-38.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.34 MBytes       
[  5]  38.00-39.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.38 MBytes       
[  5]  39.00-40.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.40 MBytes       
[  5]  40.00-41.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.42 MBytes       
[  5]  41.00-42.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.43 MBytes       
[  5]  42.00-43.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.43 MBytes       
[  5]  43.00-44.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.43 MBytes       
[  5]  44.00-45.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.43 MBytes       
[  5]  45.00-46.00  sec  3.75 MBytes  31.4 Mbits/sec    0   1.43 MBytes       
[  5]  46.00-47.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.44 MBytes       
[  5]  47.00-48.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.46 MBytes       
[  5]  48.00-49.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.49 MBytes       
[  5]  49.00-50.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.54 MBytes       
[  5]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec  223    941 KBytes       
[  5]  51.00-52.00  sec  5.00 MBytes  42.0 Mbits/sec  630   1.18 MBytes       
[  5]  52.00-53.00  sec  2.50 MBytes  21.0 Mbits/sec   66    893 KBytes       
[  5]  53.00-54.00  sec  5.00 MBytes  41.9 Mbits/sec    0    954 KBytes       
[  5]  54.00-55.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1004 KBytes       
[  5]  55.00-56.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.02 MBytes       
[  5]  56.00-57.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.04 MBytes       
[  5]  57.00-58.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.05 MBytes       
[  5]  58.00-59.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.06 MBytes       
[  5]  59.00-60.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.06 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   256 MBytes  35.9 Mbits/sec  1537             sender
[  5]   0.00-60.26  sec   255 MBytes  35.5 Mbits/sec                  receiver

iperf Done.
