Connecting to host 10.136.80.186, port 5201
[  5] local 10.136.173.107 port 42324 connected to 10.136.80.186 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  78.9 MBytes   662 Mbits/sec  70230  (omitted)
[  5]   0.00-1.00   sec  77.2 MBytes   647 Mbits/sec  68680  
[  5]   1.00-2.00   sec  64.7 MBytes   542 Mbits/sec  57560  
[  5]   2.00-3.00   sec  65.1 MBytes   546 Mbits/sec  57940  
[  5]   3.00-4.00   sec  65.5 MBytes   549 Mbits/sec  58260  
[  5]   4.00-5.00   sec  61.9 MBytes   519 Mbits/sec  55080  
[  5]   5.00-6.00   sec  77.8 MBytes   653 Mbits/sec  69260  
[  5]   6.00-7.00   sec  80.4 MBytes   674 Mbits/sec  71550  
[  5]   7.00-8.00   sec  80.5 MBytes   675 Mbits/sec  71620  
[  5]   8.00-9.00   sec  78.4 MBytes   658 Mbits/sec  69830  
[  5]   9.00-10.00  sec  79.2 MBytes   664 Mbits/sec  70510  
[  5]  10.00-11.00  sec  79.4 MBytes   666 Mbits/sec  70660  
[  5]  11.00-12.00  sec  79.0 MBytes   663 Mbits/sec  70340  
[  5]  12.00-13.00  sec  78.8 MBytes   661 Mbits/sec  70120  
[  5]  13.00-14.00  sec  78.4 MBytes   658 Mbits/sec  69830  
[  5]  14.00-15.00  sec  79.1 MBytes   664 Mbits/sec  70410  
[  5]  15.00-16.00  sec  78.9 MBytes   662 Mbits/sec  70200  
[  5]  16.00-17.00  sec  80.0 MBytes   671 Mbits/sec  71220  
[  5]  17.00-18.00  sec  80.2 MBytes   673 Mbits/sec  71420  
[  5]  18.00-19.00  sec  80.1 MBytes   672 Mbits/sec  71300  
[  5]  19.00-20.00  sec  80.1 MBytes   672 Mbits/sec  71330  
[  5]  20.00-21.00  sec  79.2 MBytes   664 Mbits/sec  70500  
[  5]  21.00-22.00  sec  79.3 MBytes   665 Mbits/sec  70570  
[  5]  22.00-23.00  sec  80.2 MBytes   673 Mbits/sec  71380  
[  5]  23.00-24.00  sec  79.8 MBytes   670 Mbits/sec  71050  
[  5]  24.00-25.00  sec  79.9 MBytes   670 Mbits/sec  71100  
[  5]  25.00-26.00  sec  77.5 MBytes   650 Mbits/sec  69020  
[  5]  26.00-27.00  sec  79.7 MBytes   668 Mbits/sec  70900  
[  5]  27.00-28.00  sec  81.0 MBytes   679 Mbits/sec  72100  
[  5]  28.00-29.00  sec  80.0 MBytes   671 Mbits/sec  71220  
[  5]  29.00-30.00  sec  79.3 MBytes   665 Mbits/sec  70610  
[  5]  30.00-31.00  sec  79.0 MBytes   663 Mbits/sec  70340  
[  5]  31.00-32.00  sec  79.9 MBytes   670 Mbits/sec  71140  
[  5]  32.00-33.00  sec  79.1 MBytes   664 Mbits/sec  70430  
[  5]  33.00-34.00  sec  79.5 MBytes   667 Mbits/sec  70730  
[  5]  34.00-35.00  sec  78.6 MBytes   659 Mbits/sec  69930  
[  5]  35.00-36.00  sec  78.9 MBytes   662 Mbits/sec  70260  
[  5]  36.00-37.00  sec  80.2 MBytes   673 Mbits/sec  71420  
[  5]  37.00-38.00  sec  79.4 MBytes   666 Mbits/sec  70720  
[  5]  38.00-39.00  sec  77.6 MBytes   651 Mbits/sec  69050  
[  5]  39.00-40.00  sec  78.8 MBytes   661 Mbits/sec  70180  
[  5]  40.00-41.00  sec  78.9 MBytes   662 Mbits/sec  70210  
[  5]  41.00-42.00  sec  79.9 MBytes   670 Mbits/sec  71140  
[  5]  42.00-43.00  sec  79.0 MBytes   662 Mbits/sec  70290  
[  5]  43.00-44.00  sec  79.4 MBytes   666 Mbits/sec  70710  
[  5]  44.00-45.00  sec  79.4 MBytes   666 Mbits/sec  70660  
[  5]  45.00-46.00  sec  78.0 MBytes   655 Mbits/sec  69460  
[  5]  46.00-47.00  sec  80.6 MBytes   676 Mbits/sec  71780  
[  5]  47.00-48.00  sec  80.5 MBytes   675 Mbits/sec  71630  
[  5]  48.00-49.00  sec  80.0 MBytes   671 Mbits/sec  71230  
[  5]  49.00-50.00  sec  79.8 MBytes   669 Mbits/sec  71000  
[  5]  50.00-51.00  sec  79.5 MBytes   667 Mbits/sec  70770  
[  5]  51.00-52.00  sec  80.1 MBytes   672 Mbits/sec  71280  
[  5]  52.00-53.00  sec  78.3 MBytes   657 Mbits/sec  69720  
[  5]  53.00-54.00  sec  79.7 MBytes   668 Mbits/sec  70910  
[  5]  54.00-55.00  sec  79.3 MBytes   665 Mbits/sec  70590  
[  5]  55.00-56.00  sec  78.9 MBytes   662 Mbits/sec  70260  
[  5]  56.00-57.00  sec  79.5 MBytes   667 Mbits/sec  70760  
[  5]  57.00-58.00  sec  79.4 MBytes   666 Mbits/sec  70720  
[  5]  58.00-59.00  sec  80.0 MBytes   671 Mbits/sec  71220  
[  5]  59.00-60.00  sec  80.0 MBytes   671 Mbits/sec  71180  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  4.59 GBytes   657 Mbits/sec  0.000 ms  0/4185290 (0%)  sender
[  5]   0.00-60.04  sec  4.59 GBytes   657 Mbits/sec  0.011 ms  1891/4185289 (0.045%)  receiver

iperf Done.
