Connecting to host knb-server-753860, port 5201
[  5] local 10.136.173.72 port 55690 connected to 10.43.30.51 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  31.00-32.00  sec  26.2 MBytes   220 Mbits/sec    0   3.05 MBytes       
[  5]  32.00-33.00  sec  26.2 MBytes   220 Mbits/sec    0   3.05 MBytes       
[  5]  33.00-34.00  sec  27.5 MBytes   231 Mbits/sec    0   3.05 MBytes       
[  5]  34.00-35.00  sec  26.2 MBytes   220 Mbits/sec    0   3.05 MBytes       
[  5]  35.00-36.00  sec  21.2 MBytes   178 Mbits/sec    0   3.05 MBytes       
[  5]  36.00-37.00  sec  22.5 MBytes   189 Mbits/sec    0   3.05 MBytes       
[  5]  37.00-38.00  sec  22.5 MBytes   189 Mbits/sec    0   3.05 MBytes       
[  5]  38.00-39.00  sec  23.8 MBytes   199 Mbits/sec    0   3.05 MBytes       
[  5]  39.00-40.00  sec  18.8 MBytes   157 Mbits/sec  730   2.19 MBytes       
[  5]  40.00-41.00  sec  18.8 MBytes   157 Mbits/sec    0   2.38 MBytes       
[  5]  41.00-42.00  sec  18.8 MBytes   157 Mbits/sec    0   2.54 MBytes       
[  5]  42.00-43.00  sec  20.0 MBytes   168 Mbits/sec    0   2.67 MBytes       
[  5]  43.00-44.00  sec  20.0 MBytes   168 Mbits/sec    0   2.78 MBytes       
[  5]  44.00-45.00  sec  20.0 MBytes   168 Mbits/sec    0   2.86 MBytes       
[  5]  45.00-46.00  sec  20.0 MBytes   168 Mbits/sec    0   2.93 MBytes       
[  5]  46.00-47.00  sec  20.0 MBytes   168 Mbits/sec    0   2.98 MBytes       
[  5]  47.00-48.00  sec  21.2 MBytes   178 Mbits/sec    0   3.01 MBytes       
[  5]  48.00-49.00  sec  20.0 MBytes   168 Mbits/sec    0   3.01 MBytes       
[  5]  49.00-50.00  sec  20.0 MBytes   168 Mbits/sec    0   3.01 MBytes       
[  5]  50.00-51.00  sec  21.2 MBytes   178 Mbits/sec    0   3.01 MBytes       
[  5]  51.00-52.00  sec  21.2 MBytes   178 Mbits/sec    0   3.01 MBytes       
[  5]  52.00-53.00  sec  22.5 MBytes   189 Mbits/sec    0   3.01 MBytes       
[  5]  53.00-54.00  sec  22.5 MBytes   189 Mbits/sec    0   3.01 MBytes       
[  5]  54.00-55.00  sec  25.0 MBytes   210 Mbits/sec    0   3.01 MBytes       
[  5]  55.00-56.00  sec  26.2 MBytes   220 Mbits/sec    0   3.01 MBytes       
[  5]  56.00-57.00  sec  28.8 MBytes   241 Mbits/sec    0   3.01 MBytes       
[  5]  57.00-58.00  sec  16.2 MBytes   136 Mbits/sec  1526   1.48 MBytes       
[  5]  58.00-59.00  sec  12.5 MBytes   105 Mbits/sec  419   1.10 MBytes       
[  5]  59.00-60.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.16 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  1.17 GBytes   167 Mbits/sec  2675             sender
[  5]   0.00-60.13  sec  1.17 GBytes   167 Mbits/sec                  receiver

iperf Done.
