Connecting to host 10.136.80.165, port 5201
[  5] local 10.136.173.99 port 49100 connected to 10.136.80.165 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  95.9 MBytes   805 Mbits/sec    9    579 KBytes       (omitted)
[  5]   0.00-1.00   sec  92.2 MBytes   774 Mbits/sec    0    688 KBytes       
[  5]   1.00-2.00   sec  92.5 MBytes   776 Mbits/sec    0    780 KBytes       
[  5]   2.00-3.00   sec  91.2 MBytes   766 Mbits/sec    0    864 KBytes       
[  5]   3.00-4.00   sec  92.5 MBytes   776 Mbits/sec    8    696 KBytes       
[  5]   4.00-5.00   sec  92.5 MBytes   776 Mbits/sec    0    788 KBytes       
[  5]   5.00-6.00   sec  91.2 MBytes   765 Mbits/sec    7    648 KBytes       
[  5]   6.00-7.00   sec  92.5 MBytes   776 Mbits/sec    0    748 KBytes       
[  5]   7.00-8.00   sec  92.5 MBytes   776 Mbits/sec   52    632 KBytes       
[  5]   8.00-9.00   sec  91.2 MBytes   765 Mbits/sec    1    729 KBytes       
[  5]   9.00-10.00  sec  92.5 MBytes   776 Mbits/sec    0    819 KBytes       
[  5]  10.00-11.00  sec  91.2 MBytes   765 Mbits/sec    0    898 KBytes       
[  5]  11.00-12.00  sec  92.5 MBytes   776 Mbits/sec    0    972 KBytes       
[  5]  12.00-13.00  sec  92.5 MBytes   776 Mbits/sec   13    760 KBytes       
[  5]  13.00-14.00  sec  92.5 MBytes   776 Mbits/sec    0    842 KBytes       
[  5]  14.00-15.00  sec  92.5 MBytes   776 Mbits/sec   14    687 KBytes       
[  5]  15.00-16.00  sec  91.2 MBytes   765 Mbits/sec   48    642 KBytes       
[  5]  16.00-17.00  sec  91.2 MBytes   765 Mbits/sec    8    500 KBytes       
[  5]  17.00-18.00  sec  91.2 MBytes   765 Mbits/sec    0    620 KBytes       
[  5]  18.00-19.00  sec  92.5 MBytes   775 Mbits/sec    6    531 KBytes       
[  5]  19.00-20.00  sec  91.2 MBytes   766 Mbits/sec    0    647 KBytes       
[  5]  20.00-21.00  sec  92.5 MBytes   776 Mbits/sec    0    748 KBytes       
[  5]  21.00-22.00  sec  91.2 MBytes   765 Mbits/sec    7    586 KBytes       
[  5]  22.00-23.00  sec  92.5 MBytes   776 Mbits/sec    0    694 KBytes       
[  5]  23.00-24.00  sec  92.5 MBytes   776 Mbits/sec    0    786 KBytes       
[  5]  24.00-25.00  sec  91.2 MBytes   765 Mbits/sec    7    651 KBytes       
[  5]  25.00-26.00  sec  92.5 MBytes   776 Mbits/sec    0    750 KBytes       
[  5]  26.00-27.00  sec  91.2 MBytes   765 Mbits/sec    0    836 KBytes       
[  5]  27.00-28.00  sec  92.5 MBytes   776 Mbits/sec    6    640 KBytes       
[  5]  28.00-29.00  sec  91.2 MBytes   765 Mbits/sec    0    737 KBytes       
[  5]  29.00-30.00  sec  92.5 MBytes   776 Mbits/sec    0    826 KBytes       
[  5]  30.00-31.00  sec  92.5 MBytes   776 Mbits/sec    0    907 KBytes       
[  5]  31.00-32.00  sec  92.5 MBytes   776 Mbits/sec    0    979 KBytes       
[  5]  32.00-33.00  sec  91.2 MBytes   765 Mbits/sec    0   1.02 MBytes       
[  5]  33.00-34.00  sec  92.5 MBytes   776 Mbits/sec    0   1.08 MBytes       
[  5]  34.00-35.00  sec  92.5 MBytes   776 Mbits/sec    0   1.14 MBytes       
[  5]  35.00-36.00  sec  91.2 MBytes   765 Mbits/sec   26    661 KBytes       
[  5]  36.00-37.00  sec  92.5 MBytes   776 Mbits/sec    0    756 KBytes       
[  5]  37.00-38.00  sec  92.5 MBytes   776 Mbits/sec    7    590 KBytes       
[  5]  38.00-39.00  sec  91.2 MBytes   765 Mbits/sec    7    509 KBytes       
[  5]  39.00-40.00  sec  92.5 MBytes   776 Mbits/sec    0    629 KBytes       
[  5]  40.00-41.00  sec  91.2 MBytes   765 Mbits/sec    0    732 KBytes       
[  5]  41.00-42.00  sec  92.5 MBytes   776 Mbits/sec    0    821 KBytes       
[  5]  42.00-43.00  sec  92.5 MBytes   776 Mbits/sec   14    635 KBytes       
[  5]  43.00-44.00  sec  92.5 MBytes   776 Mbits/sec    0    734 KBytes       
[  5]  44.00-45.00  sec  91.2 MBytes   765 Mbits/sec    0    822 KBytes       
[  5]  45.00-46.00  sec  92.5 MBytes   776 Mbits/sec    7    677 KBytes       
[  5]  46.00-47.00  sec  92.5 MBytes   776 Mbits/sec    7    577 KBytes       
[  5]  47.00-48.00  sec  91.2 MBytes   766 Mbits/sec    0    685 KBytes       
[  5]  48.00-49.00  sec  92.5 MBytes   776 Mbits/sec    0    780 KBytes       
[  5]  49.00-50.00  sec  92.5 MBytes   776 Mbits/sec    0    863 KBytes       
[  5]  50.00-51.00  sec  92.5 MBytes   776 Mbits/sec    3    664 KBytes       
[  5]  51.00-52.00  sec  91.2 MBytes   765 Mbits/sec    0    759 KBytes       
[  5]  52.00-53.00  sec  92.5 MBytes   776 Mbits/sec    0    844 KBytes       
[  5]  53.00-54.00  sec  92.5 MBytes   776 Mbits/sec    4    673 KBytes       
[  5]  54.00-55.00  sec  91.2 MBytes   765 Mbits/sec    0    769 KBytes       
[  5]  55.00-56.00  sec  92.5 MBytes   776 Mbits/sec    7    620 KBytes       
[  5]  56.00-57.00  sec  91.2 MBytes   765 Mbits/sec    0    722 KBytes       
[  5]  57.00-58.00  sec  92.5 MBytes   776 Mbits/sec    6    568 KBytes       
[  5]  58.00-59.00  sec  91.2 MBytes   765 Mbits/sec    5    528 KBytes       
[  5]  59.00-60.00  sec  92.5 MBytes   776 Mbits/sec    0    644 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  5.39 GBytes   772 Mbits/sec  270             sender
[  5]   0.00-60.05  sec  5.40 GBytes   772 Mbits/sec                  receiver

iperf Done.
