Connecting to host 10.136.80.155, port 5201
[  5] local 10.136.173.101 port 42944 connected to 10.136.80.155 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  24.1 MBytes   202 Mbits/sec    0   1.06 MBytes       (omitted)
[  5]   0.00-1.00   sec  22.5 MBytes   189 Mbits/sec    0   2.20 MBytes       
[  5]   1.00-2.00   sec  21.2 MBytes   178 Mbits/sec  2099   90.9 KBytes       
[  5]   2.00-3.00   sec  27.5 MBytes   231 Mbits/sec  103   1.05 MBytes       
[  5]   3.00-4.00   sec  27.5 MBytes   231 Mbits/sec    0   1.10 MBytes       
[  5]   4.00-5.00   sec  27.5 MBytes   231 Mbits/sec    0   1.14 MBytes       
[  5]   5.00-6.00   sec  26.2 MBytes   220 Mbits/sec    0   1.17 MBytes       
[  5]   6.00-7.00   sec  27.5 MBytes   231 Mbits/sec    0   1.19 MBytes       
[  5]   7.00-8.00   sec  25.0 MBytes   210 Mbits/sec    0   1.20 MBytes       
[  5]   8.00-9.00   sec  27.5 MBytes   231 Mbits/sec    0   1.20 MBytes       
[  5]   9.00-10.00  sec  27.5 MBytes   231 Mbits/sec    0   1.20 MBytes       
[  5]  10.00-11.00  sec  27.5 MBytes   231 Mbits/sec    0   1.20 MBytes       
[  5]  11.00-12.00  sec  31.2 MBytes   262 Mbits/sec    0   1.20 MBytes       
[  5]  12.00-13.00  sec  30.0 MBytes   252 Mbits/sec    0   1.21 MBytes       
[  5]  13.00-14.00  sec  33.8 MBytes   283 Mbits/sec    0   1.23 MBytes       
[  5]  14.00-15.00  sec  30.0 MBytes   252 Mbits/sec    0   1.25 MBytes       
[  5]  15.00-16.00  sec  26.2 MBytes   220 Mbits/sec    0   1.30 MBytes       
[  5]  16.00-17.00  sec  28.8 MBytes   241 Mbits/sec    0   1.35 MBytes       
[  5]  17.00-18.00  sec  27.5 MBytes   231 Mbits/sec    0   1.43 MBytes       
[  5]  18.00-19.00  sec  25.0 MBytes   210 Mbits/sec    0   1.53 MBytes       
[  5]  19.00-20.00  sec  27.5 MBytes   231 Mbits/sec    0   1.65 MBytes       
[  5]  20.00-21.00  sec  26.2 MBytes   220 Mbits/sec    0   1.80 MBytes       
[  5]  21.00-22.00  sec  27.5 MBytes   231 Mbits/sec    0   1.97 MBytes       
[  5]  22.00-23.00  sec  33.8 MBytes   283 Mbits/sec    0   2.19 MBytes       
[  5]  23.00-24.00  sec  32.5 MBytes   273 Mbits/sec    0   2.43 MBytes       
[  5]  24.00-25.00  sec  31.2 MBytes   262 Mbits/sec    0   2.71 MBytes       
[  5]  25.00-26.00  sec  28.8 MBytes   241 Mbits/sec  368   1.42 MBytes       
[  5]  26.00-27.00  sec  26.2 MBytes   220 Mbits/sec    0   1.50 MBytes       
[  5]  27.00-28.00  sec  27.5 MBytes   231 Mbits/sec    0   1.56 MBytes       
[  5]  28.00-29.00  sec  31.2 MBytes   262 Mbits/sec    0   1.61 MBytes       
[  5]  29.00-30.00  sec  31.2 MBytes   262 Mbits/sec    0   1.64 MBytes       
[  5]  30.00-31.00  sec  30.0 MBytes   252 Mbits/sec    0   1.66 MBytes       
[  5]  31.00-32.00  sec  30.0 MBytes   252 Mbits/sec    0   1.67 MBytes       
[  5]  32.00-33.00  sec  33.8 MBytes   283 Mbits/sec    0   1.68 MBytes       
[  5]  33.00-34.00  sec  28.8 MBytes   241 Mbits/sec    0   1.68 MBytes       
[  5]  34.00-35.00  sec  27.5 MBytes   231 Mbits/sec    0   1.68 MBytes       
[  5]  35.00-36.00  sec  26.2 MBytes   220 Mbits/sec    0   1.68 MBytes       
[  5]  36.00-37.00  sec  31.2 MBytes   262 Mbits/sec    0   1.69 MBytes       
[  5]  37.00-38.00  sec  33.8 MBytes   283 Mbits/sec    0   1.70 MBytes       
[  5]  38.00-39.00  sec  31.2 MBytes   262 Mbits/sec    0   1.72 MBytes       
[  5]  39.00-40.00  sec  33.8 MBytes   283 Mbits/sec    0   1.76 MBytes       
[  5]  40.00-41.00  sec  33.8 MBytes   283 Mbits/sec    0   1.81 MBytes       
[  5]  41.00-42.00  sec  33.8 MBytes   283 Mbits/sec    0   1.88 MBytes       
[  5]  42.00-43.00  sec  31.2 MBytes   262 Mbits/sec    0   1.97 MBytes       
[  5]  43.00-44.00  sec  25.0 MBytes   210 Mbits/sec    0   2.08 MBytes       
[  5]  44.00-45.00  sec  28.8 MBytes   241 Mbits/sec    0   2.22 MBytes       
[  5]  45.00-46.00  sec  28.8 MBytes   241 Mbits/sec    0   2.39 MBytes       
[  5]  46.00-47.00  sec  35.0 MBytes   294 Mbits/sec    0   2.59 MBytes       
[  5]  47.00-48.00  sec  35.0 MBytes   294 Mbits/sec   56   1.95 MBytes       
[  5]  48.00-49.00  sec  32.5 MBytes   273 Mbits/sec   39   1.45 MBytes       
[  5]  49.00-50.00  sec  35.0 MBytes   294 Mbits/sec    0   1.52 MBytes       
[  5]  50.00-51.00  sec  30.0 MBytes   252 Mbits/sec    0   1.58 MBytes       
[  5]  51.00-52.00  sec  31.2 MBytes   262 Mbits/sec    0   1.62 MBytes       
[  5]  52.00-53.00  sec  27.5 MBytes   231 Mbits/sec    0   1.64 MBytes       
[  5]  53.00-54.00  sec  32.5 MBytes   273 Mbits/sec    0   1.66 MBytes       
[  5]  54.00-55.00  sec  31.2 MBytes   262 Mbits/sec    0   1.67 MBytes       
[  5]  55.00-56.00  sec  31.2 MBytes   262 Mbits/sec    0   1.67 MBytes       
[  5]  56.00-57.00  sec  30.0 MBytes   252 Mbits/sec    0   1.67 MBytes       
[  5]  57.00-58.00  sec  30.0 MBytes   252 Mbits/sec  665    840 KBytes       
[  5]  58.00-59.00  sec  35.0 MBytes   294 Mbits/sec    6    446 KBytes       
[  5]  59.00-60.00  sec  32.5 MBytes   273 Mbits/sec    3    359 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  1.74 GBytes   249 Mbits/sec  3339             sender
[  5]   0.00-60.05  sec  1.74 GBytes   249 Mbits/sec                  receiver

iperf Done.
