Connecting to host 10.136.80.190, port 5201
[  5] local 10.136.173.67 port 40064 connected to 10.136.80.190 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec    0    990 KBytes       
[  5]  37.00-38.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1003 KBytes       
[  5]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.00 MBytes       
[  5]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.04 MBytes       
[  5]  40.00-41.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.09 MBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.16 MBytes       
[  5]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec   34    850 KBytes       
[  5]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0    948 KBytes       
[  5]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.01 MBytes       
[  5]  45.00-46.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.07 MBytes       
[  5]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec    6    787 KBytes       
[  5]  47.00-48.00  sec  2.50 MBytes  21.0 Mbits/sec   10    827 KBytes       
[  5]  48.00-49.00  sec  2.50 MBytes  21.0 Mbits/sec    0    874 KBytes       
[  5]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec    0    909 KBytes       
[  5]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec    0    933 KBytes       
[  5]  51.00-52.00  sec  2.50 MBytes  21.0 Mbits/sec    0    947 KBytes       
[  5]  52.00-53.00  sec  2.50 MBytes  21.0 Mbits/sec    0    954 KBytes       
[  5]  53.00-54.00  sec  2.50 MBytes  21.0 Mbits/sec    0    955 KBytes       
[  5]  54.00-55.00  sec  2.50 MBytes  21.0 Mbits/sec    0    955 KBytes       
[  5]  55.00-56.00  sec  2.50 MBytes  21.0 Mbits/sec    0    957 KBytes       
[  5]  56.00-57.00  sec  2.50 MBytes  21.0 Mbits/sec    0    962 KBytes       
[  5]  57.00-58.00  sec  3.75 MBytes  31.5 Mbits/sec    0    973 KBytes       
[  5]  58.00-59.00  sec  2.50 MBytes  21.0 Mbits/sec    0    995 KBytes       
[  5]  59.00-60.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.01 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   161 MBytes  22.5 Mbits/sec  1797             sender
[  5]   0.00-60.35  sec   160 MBytes  22.2 Mbits/sec                  receiver

iperf Done.
