Connecting to host 10.136.80.176, port 5201
[  5] local 10.136.173.77 port 59851 connected to 10.136.80.176 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  81.2 MBytes   681 Mbits/sec  72280  (omitted)
[  5]   0.00-1.00   sec  79.8 MBytes   669 Mbits/sec  71030  
[  5]   1.00-2.00   sec  80.9 MBytes   678 Mbits/sec  71970  
[  5]   2.00-3.00   sec  80.3 MBytes   673 Mbits/sec  71460  
[  5]   3.00-4.00   sec  80.5 MBytes   675 Mbits/sec  71650  
[  5]   4.00-5.00   sec  80.0 MBytes   671 Mbits/sec  71200  
[  5]   5.00-6.00   sec  80.3 MBytes   673 Mbits/sec  71450  
[  5]   6.00-7.00   sec  81.0 MBytes   680 Mbits/sec  72110  
[  5]   7.00-8.00   sec  81.6 MBytes   684 Mbits/sec  72610  
[  5]   8.00-9.00   sec  81.0 MBytes   680 Mbits/sec  72130  
[  5]   9.00-10.00  sec  81.1 MBytes   680 Mbits/sec  72200  
[  5]  10.00-11.00  sec  80.3 MBytes   673 Mbits/sec  71450  
[  5]  11.00-12.00  sec  80.8 MBytes   678 Mbits/sec  71950  
[  5]  12.00-13.00  sec  80.6 MBytes   676 Mbits/sec  71780  
[  5]  13.00-14.00  sec  81.7 MBytes   685 Mbits/sec  72730  
[  5]  14.00-15.00  sec  80.4 MBytes   674 Mbits/sec  71560  
[  5]  15.00-16.00  sec  80.3 MBytes   674 Mbits/sec  71520  
[  5]  16.00-17.00  sec  80.6 MBytes   676 Mbits/sec  71720  
[  5]  17.00-18.00  sec  82.4 MBytes   691 Mbits/sec  73330  
[  5]  18.00-19.00  sec  80.1 MBytes   672 Mbits/sec  71300  
[  5]  19.00-20.00  sec  80.1 MBytes   672 Mbits/sec  71320  
[  5]  20.00-21.00  sec  79.2 MBytes   664 Mbits/sec  70470  
[  5]  21.00-22.00  sec  79.5 MBytes   667 Mbits/sec  70760  
[  5]  22.00-23.00  sec  80.5 MBytes   676 Mbits/sec  71680  
[  5]  23.00-24.00  sec  80.1 MBytes   672 Mbits/sec  71290  
[  5]  24.00-25.00  sec  80.7 MBytes   677 Mbits/sec  71830  
[  5]  25.00-26.00  sec  80.6 MBytes   676 Mbits/sec  71730  
[  5]  26.00-27.00  sec  80.3 MBytes   674 Mbits/sec  71510  
[  5]  27.00-28.00  sec  80.2 MBytes   672 Mbits/sec  71360  
[  5]  28.00-29.00  sec  80.3 MBytes   674 Mbits/sec  71490  
[  5]  29.00-30.00  sec  80.4 MBytes   675 Mbits/sec  71610  
[  5]  30.00-31.00  sec  79.1 MBytes   664 Mbits/sec  70450  
[  5]  31.00-32.00  sec  80.0 MBytes   671 Mbits/sec  71240  
[  5]  32.00-33.00  sec  80.9 MBytes   679 Mbits/sec  72020  
[  5]  33.00-34.00  sec  79.6 MBytes   668 Mbits/sec  70880  
[  5]  34.00-35.00  sec  80.5 MBytes   675 Mbits/sec  71640  
[  5]  35.00-36.00  sec  80.5 MBytes   675 Mbits/sec  71630  
[  5]  36.00-37.00  sec  80.7 MBytes   677 Mbits/sec  71800  
[  5]  37.00-38.00  sec  80.6 MBytes   676 Mbits/sec  71720  
[  5]  38.00-39.00  sec  81.5 MBytes   684 Mbits/sec  72560  
[  5]  39.00-40.00  sec  81.2 MBytes   681 Mbits/sec  72310  
[  5]  40.00-41.00  sec  80.2 MBytes   673 Mbits/sec  71380  
[  5]  41.00-42.00  sec  81.1 MBytes   680 Mbits/sec  72160  
[  5]  42.00-43.00  sec  81.0 MBytes   679 Mbits/sec  72060  
[  5]  43.00-44.00  sec  80.2 MBytes   673 Mbits/sec  71410  
[  5]  44.00-45.00  sec  81.4 MBytes   683 Mbits/sec  72490  
[  5]  45.00-46.00  sec  81.1 MBytes   681 Mbits/sec  72230  
[  5]  46.00-47.00  sec  80.9 MBytes   679 Mbits/sec  72010  
[  5]  47.00-48.00  sec  82.4 MBytes   691 Mbits/sec  73310  
[  5]  48.00-49.00  sec  81.7 MBytes   685 Mbits/sec  72730  
[  5]  49.00-50.00  sec  82.1 MBytes   689 Mbits/sec  73090  
[  5]  50.00-51.00  sec  81.1 MBytes   680 Mbits/sec  72170  
[  5]  51.00-52.00  sec  81.0 MBytes   679 Mbits/sec  72100  
[  5]  52.00-53.00  sec  81.2 MBytes   681 Mbits/sec  72300  
[  5]  53.00-54.00  sec  81.1 MBytes   680 Mbits/sec  72210  
[  5]  54.00-55.00  sec  82.7 MBytes   694 Mbits/sec  73650  
[  5]  55.00-56.00  sec  81.6 MBytes   684 Mbits/sec  72620  
[  5]  56.00-57.00  sec  81.9 MBytes   687 Mbits/sec  72870  
[  5]  57.00-58.00  sec  82.2 MBytes   690 Mbits/sec  73200  
[  5]  58.00-59.00  sec  81.9 MBytes   687 Mbits/sec  72890  
[  5]  59.00-60.00  sec  82.3 MBytes   690 Mbits/sec  73260  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  4.74 GBytes   678 Mbits/sec  0.000 ms  0/4316590 (0%)  sender
[  5]   0.00-60.04  sec  4.74 GBytes   678 Mbits/sec  0.012 ms  1120/4316590 (0.026%)  receiver

iperf Done.
