benchmark-name,benchmark-type,server-node,client-node,socket-buffer-size,mtu,bandwidth,client-ram,client-cpu,server-ram,server-cpu,transport-protocol,loss,delay
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,-1,1145,40.13,1128,5.87,udp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,26.5,1142,40.22,1118,6.02,udp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,26.5,1149,40.09,1129,6.1,udp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,26.6,1138,40.34,1128,5.6,udp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,22.7,990,7.71,1097,8.17,tcp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,22.1,997,7.4,1101,8.2,tcp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,20.8,980,7.33,1099,7.82,tcp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,22.0,985,7.53,1093,7.91,tcp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,21.0,985,7.14,1088,7.9,tcp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,23.4,985,7.63,1098,8.4,tcp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,21.6,979,7.63,1095,8.35,tcp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,22.8,989,7.65,1096,8.13,tcp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,22.7,986,7.55,1105,8.14,tcp,0,350
21-headscale-direct,pod2pod,l26-node03,l26-node02,2M,1230,22.5,991,7.58,1105,8.08,tcp,0,350
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,779,2.56,841,2.7,idle,5,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,781,2.76,840,2.65,idle,5,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,780,2.64,837,2.65,idle,5,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,778,2.48,839,3.18,idle,5,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,775,2.62,838,2.69,idle,5,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,778,2.62,836,2.65,idle,5,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,779,2.67,833,2.72,idle,5,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,777,2.55,833,2.64,idle,5,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,776,2.58,836,2.96,idle,5,0
21-headscale-direct,idle,l26-node03,l26-node02,2M,1230,0,778,2.84,841,2.76,idle,5,0
