Connecting to host knb-server-1180041, port 5201
[  5] local 10.136.173.127 port 53154 connected to 10.43.221.131 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   460 KBytes  3.77 Mbits/sec    1   40.3 KBytes       (omitted)
[  5]   0.00-1.00   sec   370 KBytes  3.03 Mbits/sec    0   58.7 KBytes       
[  5]   1.00-2.00   sec  1.98 MBytes  16.6 Mbits/sec    0    145 KBytes       
[  5]   2.00-3.00   sec  2.97 MBytes  24.9 Mbits/sec    0    276 KBytes       
[  5]   3.00-4.00   sec   380 KBytes  3.11 Mbits/sec    0    300 KBytes       
[  5]   4.00-5.00   sec  3.52 MBytes  29.6 Mbits/sec    0    437 KBytes       
[  5]   5.00-6.00   sec   633 KBytes  5.18 Mbits/sec    0    488 KBytes       
[  5]   6.00-7.00   sec  1.36 MBytes  11.4 Mbits/sec    0    551 KBytes       
[  5]   7.00-8.00   sec  1.54 MBytes  12.9 Mbits/sec    0    611 KBytes       
[  5]   8.00-9.00   sec   823 KBytes  6.74 Mbits/sec    0    671 KBytes       
[  5]   9.00-10.00  sec   886 KBytes  7.25 Mbits/sec    0    682 KBytes       
[  5]  10.00-11.00  sec  0.00 Bytes  0.00 Mbits/sec    0    709 KBytes       
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 Mbits/sec    0    716 KBytes       
[  5]  12.00-13.00  sec  4.52 MBytes  38.0 Mbits/sec    0    992 KBytes       
[  5]  13.00-14.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.07 MBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.19 MBytes       
[  5]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.59 MBytes       
[  5]  16.00-17.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.74 MBytes       
[  5]  17.00-18.00  sec  2.50 MBytes  21.0 Mbits/sec    1   1.93 MBytes       
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.93 MBytes       
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.93 MBytes       
[  5]  20.00-21.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.95 MBytes       
[  5]  21.00-22.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.96 MBytes       
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.96 MBytes       
[  5]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.02 MBytes       
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 Mbits/sec    0   2.03 MBytes       
[  5]  25.00-26.00  sec  1.24 MBytes  10.4 Mbits/sec    0   2.06 MBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec    1   2.10 MBytes       
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 Mbits/sec    9   1.98 MBytes       
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 Mbits/sec    0    997 KBytes       
[  5]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0    605 KBytes       
