Connecting to host 10.136.80.163, port 5201
[  5] local 10.136.173.81 port 45548 connected to 10.136.80.163 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  18.00-19.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.32 MBytes       
[  5]  19.00-20.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.33 MBytes       
[  5]  20.00-21.00  sec  3.75 MBytes  31.5 Mbits/sec    2    953 KBytes       
[  5]  21.00-22.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.01 MBytes       
[  5]  22.00-23.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.06 MBytes       
[  5]  23.00-24.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.09 MBytes       
[  5]  24.00-25.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.11 MBytes       
[  5]  25.00-26.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.13 MBytes       
[  5]  26.00-27.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.13 MBytes       
[  5]  27.00-28.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.13 MBytes       
[  5]  28.00-29.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.13 MBytes       
[  5]  29.00-30.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.13 MBytes       
[  5]  30.00-31.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.14 MBytes       
[  5]  31.00-32.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.16 MBytes       
[  5]  32.00-33.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.19 MBytes       
[  5]  33.00-34.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.23 MBytes       
[  5]  34.00-35.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.30 MBytes       
[  5]  35.00-36.00  sec  3.75 MBytes  31.5 Mbits/sec   18   1.24 MBytes       
[  5]  36.00-37.00  sec  3.75 MBytes  31.5 Mbits/sec   20   1.02 MBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.12 MBytes       
[  5]  38.00-39.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.21 MBytes       
[  5]  39.00-40.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.27 MBytes       
[  5]  40.00-41.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.32 MBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec    6    962 KBytes       
[  5]  42.00-43.00  sec  3.75 MBytes  31.5 Mbits/sec    6   1014 KBytes       
[  5]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.05 MBytes       
[  5]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.09 MBytes       
[  5]  45.00-46.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.11 MBytes       
[  5]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.13 MBytes       
[  5]  47.00-48.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.14 MBytes       
[  5]  48.00-49.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.14 MBytes       
[  5]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.14 MBytes       
[  5]  50.00-51.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.14 MBytes       
[  5]  51.00-52.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.15 MBytes       
[  5]  52.00-53.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.16 MBytes       
[  5]  53.00-54.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.19 MBytes       
[  5]  54.00-55.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.23 MBytes       
[  5]  55.00-56.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.29 MBytes       
[  5]  56.00-57.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.36 MBytes       
[  5]  57.00-58.00  sec  2.50 MBytes  21.0 Mbits/sec   29    993 KBytes       
[  5]  58.00-59.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.09 MBytes       
[  5]  59.00-60.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.18 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   196 MBytes  27.4 Mbits/sec  2040             sender
[  5]   0.00-60.35  sec   194 MBytes  27.0 Mbits/sec                  receiver

iperf Done.
