Connecting to host 10.136.80.175, port 5201
[  5] local 10.136.173.85 port 56672 connected to 10.136.80.175 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  13.4 MBytes   113 Mbits/sec    0    598 KBytes       (omitted)
[  5]   0.00-1.00   sec  19.4 MBytes   163 Mbits/sec    0   1.50 MBytes       
[  5]   1.00-2.00   sec  6.25 MBytes  52.4 Mbits/sec    0   1.86 MBytes       
[  5]   2.00-3.00   sec  6.25 MBytes  52.5 Mbits/sec    1   2.11 MBytes       
[  5]   3.00-4.00   sec  8.75 MBytes  73.4 Mbits/sec    0   2.56 MBytes       
[  5]   4.00-5.00   sec  10.0 MBytes  83.9 Mbits/sec    1   2.92 MBytes       
[  5]   5.00-6.00   sec  16.2 MBytes   136 Mbits/sec    0   2.93 MBytes       
[  5]   6.00-7.00   sec  5.00 MBytes  41.9 Mbits/sec  388    668 KBytes       
[  5]   7.00-8.00   sec  12.5 MBytes   105 Mbits/sec    2   2.05 MBytes       
[  5]   8.00-9.00   sec  3.75 MBytes  31.5 Mbits/sec    0   2.05 MBytes       
[  5]   9.00-10.00  sec  12.5 MBytes   105 Mbits/sec    2   2.06 MBytes       
[  5]  10.00-11.00  sec  17.5 MBytes   147 Mbits/sec    0   2.06 MBytes       
[  5]  11.00-12.00  sec  11.2 MBytes  94.4 Mbits/sec    0   2.06 MBytes       
[  5]  12.00-13.00  sec  10.0 MBytes  83.9 Mbits/sec    0   2.07 MBytes       
[  5]  13.00-14.00  sec  8.75 MBytes  73.4 Mbits/sec    0   2.10 MBytes       
[  5]  14.00-15.00  sec  12.5 MBytes   105 Mbits/sec    0   2.14 MBytes       
[  5]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.16 MBytes       
[  5]  16.00-17.00  sec  11.2 MBytes  94.5 Mbits/sec    0   2.26 MBytes       
[  5]  17.00-18.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.36 MBytes       
[  5]  18.00-19.00  sec  7.50 MBytes  62.9 Mbits/sec    0   2.48 MBytes       
[  5]  19.00-20.00  sec  11.2 MBytes  94.4 Mbits/sec   50   1.83 MBytes       
[  5]  20.00-21.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.96 MBytes       
[  5]  21.00-22.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.09 MBytes       
[  5]  22.00-23.00  sec  15.0 MBytes   126 Mbits/sec    0   2.24 MBytes       
[  5]  23.00-24.00  sec  8.75 MBytes  73.4 Mbits/sec    0   2.34 MBytes       
[  5]  24.00-25.00  sec  11.2 MBytes  94.4 Mbits/sec    0   2.41 MBytes       
[  5]  25.00-26.00  sec  17.5 MBytes   147 Mbits/sec    0   2.46 MBytes       
[  5]  26.00-27.00  sec  16.2 MBytes   136 Mbits/sec    0   2.50 MBytes       
[  5]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.50 MBytes       
[  5]  28.00-29.00  sec  8.75 MBytes  73.4 Mbits/sec    0   2.53 MBytes       
[  5]  29.00-30.00  sec  15.0 MBytes   126 Mbits/sec  200   1.79 MBytes       
[  5]  30.00-31.00  sec  11.2 MBytes  94.3 Mbits/sec    0   1.88 MBytes       
[  5]  31.00-32.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.94 MBytes       
[  5]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.99 MBytes       
[  5]  33.00-34.00  sec  2.47 MBytes  20.8 Mbits/sec    0   2.03 MBytes       
[  5]  34.00-35.00  sec  11.2 MBytes  94.4 Mbits/sec  944   1.49 MBytes       
[  5]  35.00-36.00  sec  10.0 MBytes  83.9 Mbits/sec    0   1.55 MBytes       
[  5]  36.00-37.00  sec  10.0 MBytes  83.9 Mbits/sec  112   1.12 MBytes       
[  5]  37.00-38.00  sec  3.75 MBytes  31.5 Mbits/sec   44    848 KBytes       
[  5]  38.00-39.00  sec  18.8 MBytes   157 Mbits/sec    0    910 KBytes       
[  5]  39.00-40.00  sec  7.50 MBytes  62.9 Mbits/sec    0    955 KBytes       
[  5]  40.00-41.00  sec  16.2 MBytes   136 Mbits/sec    0    986 KBytes       
[  5]  41.00-42.00  sec  17.5 MBytes   147 Mbits/sec    0   1005 KBytes       
[  5]  42.00-43.00  sec  12.5 MBytes   105 Mbits/sec    0   1016 KBytes       
[  5]  43.00-44.00  sec  10.0 MBytes  83.9 Mbits/sec    0   1020 KBytes       
[  5]  44.00-45.00  sec  18.8 MBytes   157 Mbits/sec    0   1020 KBytes       
[  5]  45.00-46.00  sec  7.50 MBytes  62.9 Mbits/sec  336    739 KBytes       
[  5]  46.00-47.00  sec  10.0 MBytes  83.9 Mbits/sec    9    569 KBytes       
[  5]  47.00-48.00  sec  7.50 MBytes  62.9 Mbits/sec    0    596 KBytes       
[  5]  48.00-49.00  sec  6.25 MBytes  52.4 Mbits/sec    1    907 KBytes       
[  5]  49.00-50.00  sec  16.2 MBytes   136 Mbits/sec    0   1.70 MBytes       
[  5]  50.00-51.00  sec  11.2 MBytes  94.4 Mbits/sec    0   2.28 MBytes       
[  5]  51.00-52.00  sec  10.0 MBytes  83.9 Mbits/sec    0   2.79 MBytes       
[  5]  52.00-53.00  sec  13.8 MBytes   115 Mbits/sec    0   3.15 MBytes       
[  5]  53.00-54.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.15 MBytes       
[  5]  54.00-55.00  sec  13.8 MBytes   116 Mbits/sec    0   3.15 MBytes       
[  5]  55.00-56.00  sec  13.8 MBytes   115 Mbits/sec    0   3.15 MBytes       
[  5]  56.00-57.00  sec  17.5 MBytes   147 Mbits/sec    0   3.15 MBytes       
[  5]  57.00-58.00  sec  12.5 MBytes   105 Mbits/sec    0   3.15 MBytes       
[  5]  58.00-59.00  sec  1.25 MBytes  10.5 Mbits/sec    1   3.15 MBytes       
[  5]  59.00-60.00  sec  8.75 MBytes  73.5 Mbits/sec    0   3.15 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   608 MBytes  85.0 Mbits/sec  2091             sender
