Connecting to host knb-server-1105227, port 5201
[  5] local 10.136.173.64 port 41698 connected to 10.43.237.124 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  35.00-36.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.83 MBytes       
[  5]  36.00-37.00  sec  13.8 MBytes   115 Mbits/sec    0   1.86 MBytes       
[  5]  37.00-38.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.89 MBytes       
[  5]  38.00-39.00  sec  10.0 MBytes  83.9 Mbits/sec    0   1.95 MBytes       
[  5]  39.00-40.00  sec  18.8 MBytes   157 Mbits/sec    0   2.06 MBytes       
[  5]  40.00-41.00  sec  11.2 MBytes  94.4 Mbits/sec    0   2.16 MBytes       
[  5]  41.00-42.00  sec  15.0 MBytes   126 Mbits/sec    0   2.30 MBytes       
[  5]  42.00-43.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.37 MBytes       
[  5]  43.00-44.00  sec  4.88 MBytes  41.0 Mbits/sec    0   2.60 MBytes       
[  5]  44.00-45.00  sec  12.5 MBytes   105 Mbits/sec    0   2.82 MBytes       
[  5]  45.00-46.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.07 MBytes       
[  5]  46.00-47.00  sec  16.2 MBytes   136 Mbits/sec    1   3.07 MBytes       
[  5]  47.00-48.00  sec  11.2 MBytes  94.7 Mbits/sec    0   3.07 MBytes       
[  5]  48.00-49.00  sec  3.75 MBytes  31.4 Mbits/sec    0   3.07 MBytes       
[  5]  49.00-50.00  sec  17.5 MBytes   147 Mbits/sec    0   3.07 MBytes       
[  5]  50.00-51.00  sec  8.75 MBytes  73.4 Mbits/sec    0   3.07 MBytes       
[  5]  51.00-52.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.07 MBytes       
[  5]  52.00-53.00  sec  16.2 MBytes   136 Mbits/sec    0   3.07 MBytes       
[  5]  53.00-54.00  sec  8.75 MBytes  73.4 Mbits/sec    0   3.07 MBytes       
[  5]  54.00-55.00  sec  11.2 MBytes  94.4 Mbits/sec    0   3.07 MBytes       
[  5]  55.00-56.00  sec  16.2 MBytes   136 Mbits/sec    0   3.07 MBytes       
[  5]  56.00-57.00  sec  13.8 MBytes   115 Mbits/sec    0   3.07 MBytes       
[  5]  57.00-58.00  sec  2.50 MBytes  21.0 Mbits/sec    0   3.07 MBytes       
[  5]  58.00-59.00  sec  17.5 MBytes   147 Mbits/sec    0   3.07 MBytes       
[  5]  59.00-60.00  sec  13.8 MBytes   115 Mbits/sec    0   3.07 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   645 MBytes  90.2 Mbits/sec  354             sender
[  5]   0.00-60.24  sec   647 MBytes  90.1 Mbits/sec                  receiver

iperf Done.
