Connecting to host 10.136.80.175, port 5201
[  5] local 10.136.173.112 port 57070 connected to 10.136.80.175 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   168 KBytes  1.38 Mbits/sec    0   46.0 KBytes       (omitted)
[  5]   0.00-1.00   sec  2.56 MBytes  21.4 Mbits/sec    0    736 KBytes       
[  5]   1.00-2.00   sec  3.61 MBytes  30.3 Mbits/sec   41    801 KBytes       
[  5]   2.00-3.00   sec  3.75 MBytes  31.5 Mbits/sec    0    886 KBytes       
[  5]   3.00-4.00   sec  3.75 MBytes  31.5 Mbits/sec    0    948 KBytes       
[  5]   4.00-5.00   sec  3.75 MBytes  31.5 Mbits/sec    0    994 KBytes       
[  5]   5.00-6.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1024 KBytes       
[  5]   6.00-7.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.02 MBytes       
[  5]   7.00-8.00   sec  3.75 MBytes  31.5 Mbits/sec    0   1.03 MBytes       
[  5]   8.00-9.00   sec  5.00 MBytes  42.0 Mbits/sec    0   1.03 MBytes       
[  5]   9.00-10.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.03 MBytes       
[  5]  10.00-11.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.03 MBytes       
[  5]  11.00-12.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.04 MBytes       
[  5]  12.00-13.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.04 MBytes       
[  5]  13.00-14.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.06 MBytes       
[  5]  14.00-15.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.08 MBytes       
[  5]  15.00-16.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.12 MBytes       
[  5]  16.00-17.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.17 MBytes       
[  5]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.25 MBytes       
[  5]  18.00-19.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.34 MBytes       
[  5]  19.00-20.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.45 MBytes       
[  5]  20.00-21.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.59 MBytes       
[  5]  21.00-22.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.75 MBytes       
[  5]  22.00-23.00  sec  5.00 MBytes  42.0 Mbits/sec    0   1.95 MBytes       
[  5]  23.00-24.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.18 MBytes       
[  5]  24.00-25.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.45 MBytes       
[  5]  25.00-26.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.75 MBytes       
[  5]  26.00-27.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.10 MBytes       
[  5]  27.00-28.00  sec  3.75 MBytes  31.4 Mbits/sec   11    619 KBytes       
[  5]  28.00-29.00  sec  2.50 MBytes  21.0 Mbits/sec  324    688 KBytes       
[  5]  29.00-30.00  sec  3.75 MBytes  31.5 Mbits/sec  148   1.44 MBytes       
[  5]  30.00-31.00  sec  3.75 MBytes  31.5 Mbits/sec   35    837 KBytes       
[  5]  31.00-32.00  sec  2.50 MBytes  21.0 Mbits/sec  275    606 KBytes       
[  5]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0    648 KBytes       
[  5]  33.00-34.00  sec  2.50 MBytes  21.0 Mbits/sec    0    678 KBytes       
[  5]  34.00-35.00  sec  2.50 MBytes  21.0 Mbits/sec    0    696 KBytes       
[  5]  35.00-36.00  sec  2.50 MBytes  21.0 Mbits/sec    0    706 KBytes       
[  5]  36.00-37.00  sec  3.75 MBytes  31.5 Mbits/sec    0    711 KBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec    0    711 KBytes       
[  5]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0    711 KBytes       
[  5]  39.00-40.00  sec  2.50 MBytes  21.0 Mbits/sec    0    714 KBytes       
[  5]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec    0    721 KBytes       
