Connecting to host 10.136.80.169, port 5201
[  5] local 10.136.173.116 port 54074 connected to 10.136.80.169 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  48.00-49.00  sec  11.2 MBytes  94.3 Mbits/sec    0   1.72 MBytes       
[  5]  49.00-50.00  sec  13.8 MBytes   115 Mbits/sec    0   1.75 MBytes       
[  5]  50.00-51.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.76 MBytes       
[  5]  51.00-52.00  sec  16.2 MBytes   136 Mbits/sec    0   1.76 MBytes       
[  5]  52.00-53.00  sec  12.5 MBytes   105 Mbits/sec    0   1.76 MBytes       
[  5]  53.00-54.00  sec  3.75 MBytes  31.4 Mbits/sec    0   1.76 MBytes       
[  5]  54.00-55.00  sec  7.50 MBytes  63.0 Mbits/sec    0   1.76 MBytes       
[  5]  55.00-56.00  sec  12.5 MBytes   105 Mbits/sec    0   1.77 MBytes       
[  5]  56.00-57.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.78 MBytes       
[  5]  57.00-58.00  sec  16.2 MBytes   136 Mbits/sec    0   1.81 MBytes       
[  5]  58.00-59.00  sec  12.5 MBytes   105 Mbits/sec    0   1.85 MBytes       
[  5]  59.00-60.00  sec  13.8 MBytes   115 Mbits/sec    0   1.91 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   606 MBytes  84.7 Mbits/sec  1414             sender
[  5]   0.00-60.64  sec   607 MBytes  83.9 Mbits/sec                  receiver

iperf Done.
