benchmark-name,benchmark-type,server-node,client-node,socket-buffer-size,mtu,bandwidth,client-ram,client-cpu,server-ram,server-cpu,transport-protocol,loss,delay
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,291,735,41.41,814,40.42,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,288,742,42.28,864,40.52,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,295,732,41.57,810,40.0,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,282,745,41.71,863,39.64,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,738,41.3,862,39.79,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,287,736,40.96,815,39.04,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,736,41.04,814,39.56,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,288,739,41.06,813,40.13,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,742,41.61,865,40.19,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,288,735,41.35,816,40.0,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,295,736,42.03,812,40.57,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,289,737,41.82,813,39.05,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,291,739,42.35,814,40.01,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,285,738,41.56,819,40.09,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,286,737,41.62,815,40.53,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,285,732,42.25,811,40.01,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,287,735,41.72,815,40.49,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,292,739,41.88,868,40.26,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,287,740,41.64,865,40.03,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,287,737,41.93,813,39.87,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,294,736,41.48,812,39.28,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,294,740,41.2,815,39.9,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,285,741,41.53,870,39.29,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,287,736,42.09,866,39.34,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,741,41.86,869,40.16,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,284,741,41.75,869,40.05,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,289,734,40.74,812,39.71,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,743,41.65,867,39.95,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,285,734,41.29,811,39.97,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,286,740,41.58,867,39.85,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,297,737,41.19,860,40.18,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,737,41.58,811,40.09,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,293,738,41.45,862,40.05,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,738,41.88,812,39.92,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,286,749,41.07,868,40.34,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,292,736,41.15,815,39.88,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,296,740,41.76,866,40.08,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,285,740,42.18,869,39.33,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,292,738,41.8,863,40.01,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,286,737,40.89,817,39.92,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,288,733,42.34,815,39.75,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,291,735,41.76,812,40.32,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,287,741,42.0,872,40.24,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,287,737,40.59,815,39.65,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,288,736,41.74,813,40.52,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,292,746,41.68,867,40.48,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,287,737,41.54,818,40.23,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,300,741,41.69,869,40.14,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,298,741,41.52,863,40.31,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,740,41.54,818,39.73,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,289,742,41.74,868,40.02,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,289,746,41.64,862,39.62,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,286,743,41.29,866,39.71,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,291,735,41.42,807,40.22,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,293,737,42.86,815,40.51,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,295,740,41.6,868,40.64,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,738,41.65,861,40.35,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,288,740,41.68,867,39.9,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,285,736,41.54,815,39.0,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,294,742,41.89,866,39.44,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,737,41.34,813,40.67,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,286,738,42.14,814,40.05,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,286,739,42.16,813,40.05,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,284,740,41.54,864,39.52,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,291,736,41.97,813,40.27,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,737,41.22,812,40.25,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,287,737,42.05,861,40.4,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,291,736,41.62,814,40.23,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,742,40.82,864,39.82,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,289,743,42.07,871,40.51,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,294,740,41.49,868,40.46,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,288,734,41.94,813,40.41,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,284,745,41.62,866,39.9,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,286,747,41.47,866,39.97,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,294,739,41.64,867,40.25,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,736,41.15,814,39.19,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,288,741,41.35,869,39.69,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,737,40.87,814,39.75,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,294,739,41.67,869,40.14,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,297,735,41.44,812,40.7,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,285,745,41.74,865,40.33,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,291,743,42.15,866,40.39,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,286,740,41.6,864,39.25,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,289,738,41.08,821,39.98,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,289,741,42.65,869,40.92,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,289,745,41.73,869,40.09,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,288,741,41.1,816,39.62,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,292,739,41.74,809,40.75,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,741,41.86,869,40.18,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,292,742,41.67,869,40.49,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,290,736,41.87,811,40.37,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,288,735,41.47,809,40.61,udp,0,0
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,61.3,748,16.22,869,21.25,tcp,0,50
32-netbird-relay,pod2pod,l26-node03,l26-node02,2M,1230,69.4,748,18.41,870,23.05,tcp,0,50
