Connecting to host knb-server-165845, port 5201
[  5] local 10.136.173.66 port 60764 connected to 10.43.144.32 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  24.1 MBytes   202 Mbits/sec    0   1.07 MBytes       (omitted)
[  5]   0.00-1.00   sec  22.5 MBytes   189 Mbits/sec    0   2.21 MBytes       
[  5]   1.00-2.00   sec  28.8 MBytes   241 Mbits/sec    5   2.93 MBytes       
[  5]   2.00-3.00   sec  28.8 MBytes   241 Mbits/sec   86   2.06 MBytes       
[  5]   3.00-4.00   sec  33.8 MBytes   283 Mbits/sec  720   1.52 MBytes       
[  5]   4.00-5.00   sec  32.5 MBytes   273 Mbits/sec    2   1.57 MBytes       
[  5]   5.00-6.00   sec  33.8 MBytes   283 Mbits/sec    0   1.58 MBytes       
[  5]   6.00-7.00   sec  33.8 MBytes   283 Mbits/sec    0   1.60 MBytes       
[  5]   7.00-8.00   sec  32.5 MBytes   273 Mbits/sec    0   1.61 MBytes       
[  5]   8.00-9.00   sec  27.5 MBytes   231 Mbits/sec    0   1.62 MBytes       
[  5]   9.00-10.00  sec  33.8 MBytes   283 Mbits/sec    0   1.64 MBytes       
[  5]  10.00-11.00  sec  27.5 MBytes   231 Mbits/sec    0   1.68 MBytes       
[  5]  11.00-12.00  sec  36.2 MBytes   304 Mbits/sec    0   1.75 MBytes       
[  5]  12.00-13.00  sec  35.0 MBytes   294 Mbits/sec    0   1.83 MBytes       
[  5]  13.00-14.00  sec  33.8 MBytes   283 Mbits/sec    0   1.94 MBytes       
[  5]  14.00-15.00  sec  33.8 MBytes   283 Mbits/sec    0   2.07 MBytes       
[  5]  15.00-16.00  sec  31.2 MBytes   262 Mbits/sec    0   2.23 MBytes       
[  5]  16.00-17.00  sec  28.8 MBytes   241 Mbits/sec    0   2.42 MBytes       
[  5]  17.00-18.00  sec  33.8 MBytes   283 Mbits/sec    0   2.64 MBytes       
[  5]  18.00-19.00  sec  30.0 MBytes   252 Mbits/sec    0   2.90 MBytes       
[  5]  19.00-20.00  sec  28.8 MBytes   241 Mbits/sec  673   1.48 MBytes       
[  5]  20.00-21.00  sec  27.5 MBytes   231 Mbits/sec    0   1.58 MBytes       
[  5]  21.00-22.00  sec  27.5 MBytes   231 Mbits/sec    0   1.65 MBytes       
[  5]  22.00-23.00  sec  27.5 MBytes   231 Mbits/sec    0   1.71 MBytes       
[  5]  23.00-24.00  sec  27.5 MBytes   231 Mbits/sec    0   1.75 MBytes       
[  5]  24.00-25.00  sec  31.2 MBytes   262 Mbits/sec    0   1.78 MBytes       
[  5]  25.00-26.00  sec  32.5 MBytes   273 Mbits/sec    0   1.79 MBytes       
[  5]  26.00-27.00  sec  33.8 MBytes   283 Mbits/sec    0   1.80 MBytes       
[  5]  27.00-28.00  sec  35.0 MBytes   294 Mbits/sec    0   1.80 MBytes       
[  5]  28.00-29.00  sec  31.2 MBytes   262 Mbits/sec    0   1.80 MBytes       
[  5]  29.00-30.00  sec  32.5 MBytes   273 Mbits/sec    0   1.80 MBytes       
[  5]  30.00-31.00  sec  27.5 MBytes   231 Mbits/sec    0   1.81 MBytes       
[  5]  31.00-32.00  sec  30.0 MBytes   252 Mbits/sec    0   1.81 MBytes       
[  5]  32.00-33.00  sec  25.0 MBytes   210 Mbits/sec    0   1.83 MBytes       
[  5]  33.00-34.00  sec  28.8 MBytes   241 Mbits/sec    0   1.86 MBytes       
[  5]  34.00-35.00  sec  32.5 MBytes   273 Mbits/sec    0   1.90 MBytes       
[  5]  35.00-36.00  sec  32.5 MBytes   273 Mbits/sec    0   1.96 MBytes       
[  5]  36.00-37.00  sec  31.2 MBytes   262 Mbits/sec    0   2.04 MBytes       
[  5]  37.00-38.00  sec  31.2 MBytes   262 Mbits/sec    0   2.13 MBytes       
[  5]  38.00-39.00  sec  32.5 MBytes   273 Mbits/sec    0   2.25 MBytes       
[  5]  39.00-40.00  sec  27.5 MBytes   231 Mbits/sec    0   2.40 MBytes       
[  5]  40.00-41.00  sec  27.5 MBytes   231 Mbits/sec    0   2.59 MBytes       
